delta_c/2pi_(MHz),P_sig=off,P_sig=0 dBm,P_sig=8 dBm,P_sig=14 dBm,P_sig=off,P_sig=0 dBm,P_sig=8 dBm,P_sig=14 dBm
-100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-99.7997998,0.008734312,0.011327444,0.006451487,NaN,-0.410249138,NaN,-0.416035538,NaN
-99.5995996,0.008734312,0.010265522,0.005920526,-0.000713851,-0.409718176,-0.411682792,-0.416035538,-0.4195711
-99.3993994,0.008734312,0.0092036,0.005389565,-0.002837695,-0.409187215,-0.410620869,-0.416035538,-0.4195711
-99.1991992,0.008426159,0.008437995,0.005538891,-0.004961539,-0.409272558,-0.409558947,-0.416715825,-0.4195711
-98.998999,0.007895198,0.007907034,0.006069852,-0.007085384,-0.409803519,-0.408263332,-0.417777747,-0.4195711
-98.7987988,0.007364237,0.007376073,0.006600813,-0.007175729,-0.41033448,-0.406670449,-0.418839669,-0.421604599
-98.5985986,0.006700022,0.007087947,0.00663604,-0.007175729,-0.410998695,-0.405077565,-0.419405857,-0.423728444
-98.3983984,0.0056381,0.007618908,0.005574118,-0.007175729,-0.412060618,-0.403778646,-0.418874896,-0.425852288
-98.1981982,0.004576178,0.00814987,0.004512196,-0.006508778,-0.41312254,-0.404840568,-0.418343934,-0.42664223
-97.997998,0.003514256,0.008680831,0.003450274,-0.005446856,-0.414184463,-0.40590249,-0.417812973,-0.42664223
-97.7977978,0.002452334,0.009689272,0.002909658,-0.004384933,-0.413778438,-0.406964412,-0.416760705,-0.42664223
-97.5975976,0.001390412,0.010751194,0.002378697,-0.003323011,-0.413247476,-0.406781769,-0.415698782,-0.426483653
-97.3973974,0.000328489,0.011813116,0.001847736,-0.002261089,-0.412716515,-0.406250807,-0.414636859,-0.425952692
-97.1971972,-0.000419016,0.011967295,0.002355997,-0.001199167,-0.413128803,-0.405719845,-0.414267752,-0.425421731
-96.996997,-0.000949977,0.011436334,0.00341792,-0.000137244,-0.414190726,-0.40542884,-0.414267752,-0.42489077
-96.7967968,-0.001480939,0.010905373,0.004479842,-0.0001046,-0.415252649,-0.40542884,-0.414267752,-0.425389087
-96.5965966,-0.001872382,0.010119048,0.005884781,-0.0001046,-0.416175054,-0.40542884,-0.414953786,-0.425920049
-96.3963964,-0.001872382,0.008526165,0.008008625,-0.0001046,-0.416706015,-0.405363783,-0.417077631,-0.42645101
-96.1961962,-0.001872382,0.006933281,0.01013247,0.00023514,-0.417236977,-0.404832822,-0.419201475,-0.426981972
-95.995996,-0.001872382,0.005340398,0.012256314,0.000766101,-0.417767938,-0.404301861,-0.42132532,-0.427512934
-95.7957958,-0.000385643,0.005682491,0.011214735,0.001297062,-0.419290059,-0.4037709,-0.421338882,-0.428043895
-95.5955956,0.00120724,0.006213452,0.010152813,0.00116866,-0.420882943,-0.404924415,-0.421338882,-0.428080335
-95.3953954,0.002800123,0.006744413,0.009090891,-0.000424223,-0.422475826,-0.406517299,-0.421338882,-0.427018413
-95.1951952,0.003751645,0.006657684,0.009086983,-0.002017106,-0.422465307,-0.408110182,-0.422044225,-0.425956491
-94.99499499,0.004282606,0.006126723,0.009617944,-0.00360999,-0.421403384,-0.408964406,-0.423106148,-0.424894569
-94.79479479,0.004813567,0.005595762,0.010148905,-0.004161067,-0.420341461,-0.408964406,-0.424168071,-0.424353549
-94.59459459,0.005636092,0.005198747,0.010679866,-0.004692028,-0.419571102,-0.408964406,-0.425229993,-0.423822588
-94.39439439,0.007228975,0.005198747,0.011210828,-0.00522299,-0.419571102,-0.408821764,-0.426291916,-0.423291627
-94.19419419,0.008821858,0.005198747,0.011741789,-0.004369936,-0.419571102,-0.407759842,-0.427353838,-0.42310667
-93.99399399,0.010414741,0.005198747,0.012269876,-0.002777052,-0.419571102,-0.40669792,-0.428404267,-0.42310667
-93.79379379,0.011003937,0.006178763,0.012269876,-0.001184169,-0.418567414,-0.405635998,-0.427342344,-0.42310667
-93.59359359,0.011534899,0.007240685,0.012269876,-0.000446809,-0.417505492,-0.406283608,-0.426280422,-0.42310667
-93.39339339,0.01206586,0.008302607,0.012269876,-0.001508732,-0.416443569,-0.40734553,-0.425218499,-0.42310667
-93.19319319,0.011942932,0.00936453,0.011910941,-0.002570654,-0.416362481,-0.408407452,-0.424515513,-0.42310667
-92.99299299,0.01141197,0.010426452,0.01137998,-0.003632576,-0.416893442,-0.409469374,-0.423984552,-0.42310667
-92.79279279,0.010881009,0.011488374,0.010849019,-0.002058664,-0.417424403,-0.410531296,-0.423453591,-0.424161003
-92.59259259,0.010198003,0.012550296,0.01123824,-0.000465781,-0.418107409,-0.411593218,-0.423474739,-0.425222925
-92.39239239,0.009136081,0.013612218,0.013362084,0.001127102,-0.419169331,-0.4123448,-0.424536662,-0.426284847
-92.19219219,0.008074158,0.014674141,0.015485929,0.002719986,-0.420231253,-0.411282878,-0.425598584,-0.427699037
-91.99199199,0.007012236,0.015736063,0.017573223,0.004312869,-0.421293175,-0.410220955,-0.426623957,-0.42929192
-91.79179179,0.006458422,0.015309169,0.017573223,0.005905752,-0.422355098,-0.409159032,-0.425562034,-0.430884803
-91.59159159,0.005927461,0.014778208,0.017573223,0.007321267,-0.42341702,-0.408530757,-0.424500112,-0.431768211
-91.39139139,0.005396499,0.014247246,0.017573223,0.008383189,-0.424478943,-0.407999796,-0.423438189,-0.431237249
-91.19119119,0.00453233,0.013073539,0.017208024,0.009445111,-0.424541239,-0.407468835,-0.423837065,-0.430706288
-90.99099099,0.003470408,0.011480656,0.016677063,0.010494685,-0.424010278,-0.407714118,-0.424898987,-0.430177796
-90.79079079,0.002408485,0.009887773,0.016146102,0.008901802,-0.423479317,-0.40877604,-0.425960909,-0.430177796
-90.59059059,0.001188254,0.008734312,0.015805441,0.007308918,-0.423264976,-0.409837962,-0.42664223,-0.430177796
-90.39039039,-0.00040463,0.008734312,0.015805441,0.005716035,-0.423795937,-0.410816035,-0.42664223,-0.430177796
-90.19019019,-0.001997513,0.008734312,0.015805441,0.006632874,-0.424326898,-0.411346997,-0.42664223,-0.431611923
-89.98998999,-0.003590396,0.008734312,0.015805441,0.008756719,-0.424857859,-0.411877958,-0.426626828,-0.433735767
-89.78978979,-0.00312578,0.009236848,0.015805441,0.010880563,-0.424360064,-0.41240892,-0.426095867,-0.435859611
-89.58958959,-0.002594806,0.009767809,0.015805441,0.012086244,-0.423829089,-0.41249997,-0.425564906,-0.437065291
-89.38938939,-0.002063831,0.01029877,0.015805441,0.011555282,-0.423298115,-0.41249997,-0.425033945,-0.43653433
-89.18918919,-0.001872382,0.010174457,0.015062514,0.011024321,-0.422088116,-0.41249997,-0.424874448,-0.436003369
-88.98898899,-0.001872382,0.009643496,0.014000592,0.010502094,-0.420495233,-0.412764982,-0.424874448,-0.435472408
-88.78878879,-0.001872382,0.009112535,0.012938669,0.010502094,-0.41890235,-0.413295943,-0.424874448,-0.434941447
-88.58858859,-0.002037,0.008428836,0.012073312,0.010502094,-0.417638702,-0.413826904,-0.425071013,-0.434410486
-88.38838839,-0.002567961,0.007366913,0.011542351,0.010502094,-0.41710774,-0.414357865,-0.425601974,-0.433879525
-88.18818819,-0.003098922,0.006304991,0.01101139,0.010137298,-0.416576779,-0.414888826,-0.426132936,-0.434442952
-87.98798799,-0.003629883,0.005243069,0.010502094,0.009606337,-0.416045817,-0.415419787,-0.426533904,-0.435504874
-87.78778779,-0.002598805,0.005707547,0.010502094,0.009075376,-0.417076896,-0.415950748,-0.423879099,-0.436566797
-87.58758759,-0.001536883,0.006238508,0.010502094,0.008544415,-0.418138819,-0.417820234,-0.421224293,-0.437628719
-87.38738739,-0.00047496,0.006769469,0.010502094,0.008013454,-0.419200741,-0.419944079,-0.418569488,-0.438690641
-87.18718719,0.001278523,0.005630925,0.010124366,0.007482493,-0.419916883,-0.422067923,-0.417425592,-0.439752563
-86.98698699,0.003402368,0.003507081,0.009593405,0.006921536,-0.420447845,-0.422564112,-0.416894631,-0.440754495
-86.78678679,0.005526212,0.001383236,0.009062444,0.005328653,-0.420978806,-0.421502189,-0.41636367,-0.439692573
-86.58658659,0.007308293,-0.000581606,0.008531483,0.00373577,-0.421338886,-0.420440267,-0.416035538,-0.438630651
-86.38638639,0.008370215,-0.002174489,0.008000522,0.002142886,-0.421338886,-0.419763852,-0.416035538,-0.437568728
-86.18618619,0.009432137,-0.003767373,0.007469561,0.002034242,-0.421338886,-0.420825775,-0.416035538,-0.437248926
-85.98598599,0.010494059,-0.005360256,0.006966529,0.002565203,-0.421338886,-0.421887697,-0.415951749,-0.437248926
-85.78578579,0.010502094,-0.005407947,0.006966529,0.003096165,-0.421338886,-0.42294962,-0.414358866,-0.437248926
-85.58558559,0.010502094,-0.005407947,0.006966529,0.003823286,-0.421338886,-0.423106664,-0.412765982,-0.437052765
-85.38538539,0.010502094,-0.005407947,0.006966529,0.004885209,-0.421338886,-0.423106664,-0.411173099,-0.436521804
-85.18518519,0.010502094,-0.004727617,0.006966529,0.005947131,-0.421338886,-0.423106664,-0.410348198,-0.435990843
-84.98498498,0.010502094,-0.003665694,0.006966529,0.006945268,-0.421338886,-0.423384204,-0.409817236,-0.435459882
-84.78478478,0.010502094,-0.002603772,0.006966529,0.006414307,-0.421338886,-0.423915166,-0.409286275,-0.434928921
-84.58458458,0.009970656,-0.001376584,0.006966529,0.005883345,-0.42116174,-0.424446127,-0.409591684,-0.43439796
-84.38438438,0.008377773,0.000216299,0.006966529,0.005352384,-0.420630778,-0.424258602,-0.411184568,-0.433866999
-84.18418418,0.00678489,0.001809183,0.006966529,0.005576071,-0.420099817,-0.421072835,-0.412777451,-0.433713362
-83.98398398,0.0051965,0.003402066,0.006932336,0.006107032,-0.419571102,-0.417887069,-0.414370335,-0.433713362
-83.78378378,0.004665539,0.004473621,0.006401375,0.006637993,-0.419571102,-0.414701302,-0.415963218,-0.433713362
-83.58358358,0.004134578,0.005535543,0.005870414,0.00656168,-0.419571102,-0.414726457,-0.417556102,-0.433915787
-83.38338338,0.003603617,0.006597465,0.005339453,0.005499758,-0.419571102,-0.415257418,-0.419148986,-0.434446748
-83.18318318,0.003430965,0.008352246,0.005198747,0.004437835,-0.419929411,-0.415788379,-0.419180846,-0.434977709
-82.98298298,0.003430965,0.01047609,0.005198747,0.003403439,-0.420460372,-0.415467928,-0.418649884,-0.43550867
-82.78278278,0.003430965,0.012599935,0.005198747,0.002872478,-0.420991333,-0.414406005,-0.418118923,-0.436039631
-82.58258258,0.003247555,0.013866128,0.004983391,0.002341517,-0.421338884,-0.413344082,-0.418449388,-0.436570592
-82.38238238,0.002716594,0.013335167,0.004452429,0.001810556,-0.421338884,-0.412608875,-0.420042272,-0.437101553
-82.18218218,0.002185633,0.012804206,0.003921468,0.001279595,-0.421338884,-0.413139837,-0.421635155,-0.438016102
-81.98198198,0.001680204,0.012273245,0.003471422,0.000748634,-0.421338884,-0.413670798,-0.423228039,-0.439078024
-81.78178178,0.002742126,0.012269876,0.004002383,0.000217672,-0.421338884,-0.41420176,-0.424820922,-0.440139946
-81.58158158,0.003804048,0.012269876,0.004533345,-0.0001046,-0.421338884,-0.414732721,-0.426413806,-0.441201868
-81.38138138,0.004865971,0.012269876,0.005064306,-0.0001046,-0.421338884,-0.415263682,-0.42800669,-0.44226379
-81.18118118,0.00556332,0.011211797,0.005198747,-0.0001046,-0.42206803,-0.415794643,-0.428806534,-0.443325712
-80.98098098,0.006094281,0.009618913,0.005198747,-0.0001046,-0.423129953,-0.417195808,-0.429337495,-0.444353844
-80.78078078,0.006625242,0.00802603,0.005198747,-0.0001046,-0.424191875,-0.419319653,-0.429868456,-0.444884805
-80.58058058,0.007156203,0.007144323,0.005641988,-0.0001046,-0.42487445,-0.421443498,-0.430399417,-0.445415766
-80.38038038,0.007687164,0.007675285,0.006703911,-0.0001046,-0.42487445,-0.423221835,-0.430930378,-0.445946727
-80.18018018,0.008218125,0.008206246,0.007765833,0.000675104,-0.42487445,-0.423752797,-0.431461339,-0.445697984
-79.97997998,0.008704762,0.008731417,0.008734312,0.001737026,-0.424859675,-0.424283758,-0.432039021,-0.445167023
-79.77977978,0.00764284,0.008200455,0.008734312,0.002798948,-0.424328714,-0.42481472,-0.433100944,-0.444636062
-79.57957958,0.006580918,0.007669494,0.008734312,0.003430965,-0.423797753,-0.425345682,-0.434162866,-0.444105101
-79.37937938,0.005518995,0.007138533,0.008734312,0.003430965,-0.423266792,-0.425876643,-0.435224789,-0.44357414
-79.17917918,0.005198747,0.006966529,0.009137095,0.003430965,-0.423106668,-0.426407605,-0.435481144,-0.443043179
-78.97897898,0.005198747,0.006966529,0.009668057,0.003430965,-0.423106668,-0.426345902,-0.435481144,-0.442592326
-78.77877878,0.005198747,0.006966529,0.010199018,0.003430965,-0.423106668,-0.42581494,-0.435481144,-0.443123287
-78.57857858,0.005198747,0.007518704,0.010729979,0.003430965,-0.423106668,-0.425283978,-0.435025375,-0.443654248
-78.37837838,0.005198747,0.009111587,0.01126094,0.003430965,-0.423106668,-0.424753017,-0.433963453,-0.444185209
-78.17817818,0.005198747,0.01070447,0.011791901,0.003827081,-0.423106668,-0.424222056,-0.432901531,-0.44471617
-77.97797798,0.005198747,0.01223324,0.012216891,0.004358042,-0.423085629,-0.423691095,-0.431892594,-0.445247131
-77.77777778,0.005198747,0.010109395,0.01168593,0.004889003,-0.422554668,-0.423160134,-0.431361633,-0.445778092
-77.57757758,0.005198747,0.007985551,0.011154969,0.004756313,-0.422023707,-0.422151677,-0.430830672,-0.445424185
-77.37737738,0.005198747,0.005861707,0.010624007,0.003694391,-0.421492746,-0.421089755,-0.430299711,-0.443831302
-77.17717718,0.004821646,0.004468305,0.009683999,0.002632469,-0.421338886,-0.420027832,-0.429359703,-0.442238419
-76.97697698,0.004290685,0.003406382,0.008622076,0.001663182,-0.421338886,-0.419268506,-0.428297781,-0.440923444
-76.77677678,0.003759724,0.00234446,0.007560154,0.001663182,-0.421338886,-0.418737544,-0.427235859,-0.442516327
-76.57657658,0.003633167,0.00147286,0.007200678,0.001663182,-0.421541088,-0.418206582,-0.426408085,-0.44410921
