delta_c/2pi (MHz),Omega_c/2pi (MHz),EIT Amplitude (arb. units)
-999.5368278,0.539851933,-0.001569025
-999.5368278,0.547514661,-0.00145925
-999.5368278,0.555177388,-0.00131378
-999.5368278,0.562840116,-0.001152025
-999.5368278,0.570502843,-0.000987537
-999.5368278,0.57816557,-0.00082687
-999.5368278,0.585828298,-0.000669976
-999.5368278,0.593491025,-0.000516806
-999.5368278,0.601153753,-0.000367311
-999.5368278,0.60881648,-0.000221444
-999.5368278,0.616479207,-7.92E-05
-999.5368278,0.624141935,5.96E-05
-999.5368278,0.631804662,0.000194876
-999.5368278,0.639467389,0.000326717
-999.5368278,0.647130117,0.000455173
-999.5368278,0.654792844,0.000580291
-999.5368278,0.662455572,0.00070212
-999.5368278,0.670118299,0.000820709
-999.5368278,0.677781026,0.000936106
-999.5368278,0.685443754,0.001048358
-999.5368278,0.693106481,0.001157515
-999.5368278,0.700769209,0.001263626
-999.5368278,0.708431936,0.001366737
-999.5368278,0.716094663,0.001466898
-999.5368278,0.723757391,0.001564156
-999.5368278,0.731420118,0.001658561
-999.5368278,0.739082846,0.001750161
-999.5368278,0.746745573,0.001839003
-999.5368278,0.7544083,0.001925137
-999.5368278,0.762071028,0.002008611
-999.5368278,0.769733755,0.002089472
-999.5368278,0.777396482,0.00216777
-999.5368278,0.78505921,0.002243553
-999.5368278,0.792721937,0.002316869
-999.5368278,0.800384665,0.002387766
-999.5368278,0.808047392,0.002456293
-999.5368278,0.815710119,0.002522498
-999.5368278,0.823372847,0.00258643
-999.5368278,0.831035574,0.002648136
-999.5368278,0.838698302,0.002707666
-999.5368278,0.846361029,0.002765067
-999.5368278,0.854023756,0.002820389
-999.5368278,0.861686484,0.002873678
-999.5368278,0.869349211,0.002924984
-999.5368278,0.877011938,0.002974355
-999.5368278,0.884674666,0.00302184
-999.5368278,0.892337393,0.003067486
-999.5368278,0.900000121,0.003111342
-999.5368278,0.907662848,0.003153456
-999.5368278,0.915325575,0.003193877
-999.5368278,0.922988303,0.003232654
-999.5368278,0.93065103,0.003269833
-999.5368278,0.938313758,0.003305465
-999.5368278,0.945976485,0.003339597
-999.5368278,0.953639212,0.003372277
-999.5368278,0.96130194,0.003403554
-999.5368278,0.968964667,0.003433476
-999.5368278,0.976627395,0.003462092
-999.5368278,0.984290122,0.003489449
-999.5368278,0.991952849,0.003515597
-999.5368278,0.999615577,0.003540584
-999.5368278,1.007278304,0.003564457
-999.5368278,1.014941031,0.003587266
-999.5368278,1.022603759,0.003609059
-999.5368278,1.030266486,0.003629883
-999.5368278,1.037929214,0.003649788
-999.5368278,1.045591941,0.003668822
-999.5368278,1.053254668,0.003687033
-999.5368278,1.060917396,0.003704469
-999.5368278,1.068580123,0.003721179
-999.5368278,1.076242851,0.003737211
-999.5368278,1.083905578,0.003752614
-999.5368278,1.091568305,0.003767435
-999.5368278,1.099231033,0.003781724
-999.5368278,1.10689376,0.003795528
-999.5368278,1.114556488,0.003808896
-999.5368278,1.122219215,0.003821877
-999.5368278,1.129881942,0.003834518
-999.5368278,1.13754467,0.003846868
-999.5368278,1.145207397,0.003858975
-999.5368278,1.152870124,0.003870888
-999.5368278,1.160532852,0.003882655
-999.5368278,1.168195579,0.003894325
-999.5368278,1.175858307,0.003905945
-999.5368278,1.183521034,0.003917564
-999.5368278,1.191183761,0.003929231
-999.5368278,1.198846489,0.003940993
-999.5368278,1.206509216,0.0039529
-999.5368278,1.214171944,0.003964999
-999.5368278,1.221834671,0.003977339
-999.5368278,1.229497398,0.003989968
-999.5368278,1.237160126,0.004002935
-999.5368278,1.244822853,0.004016288
-999.5368278,1.25248558,0.004030074
-999.5368278,1.260148308,0.004044344
-999.5368278,1.267811035,0.004059144
-999.5368278,1.275473763,0.004074524
-999.5368278,1.28313649,0.004090532
-999.5368278,1.290799217,0.004107215
-999.5368278,1.298461945,0.004124623
-999.5368278,1.306124672,0.004142804
-999.5368278,1.3137874,0.004161806
-999.5368278,1.321450127,0.004181677
-999.5368278,1.329112854,0.004202466
-999.5368278,1.336775582,0.004224221
-999.5368278,1.344438309,0.00424699
-999.5368278,1.352101037,0.004270823
-999.5368278,1.359763764,0.004295766
-999.5368278,1.367426491,0.00432187
-999.5368278,1.375089219,0.004349181
-999.5368278,1.382751946,0.004377748
-999.5368278,1.390414673,0.00440762
-999.5368278,1.398077401,0.004438845
-999.5368278,1.405740128,0.004471471
-999.5368278,1.413402856,0.004505547
-999.5368278,1.421065583,0.004541121
-999.5368278,1.42872831,0.004578242
-999.5368278,1.436391038,0.004616957
-999.5368278,1.444053765,0.004657315
-999.5368278,1.451716493,0.004699365
-999.5368278,1.45937922,0.004743154
-999.5368278,1.467041947,0.004788732
-999.5368278,1.474704675,0.004836146
-999.5368278,1.482367402,0.004885444
-999.5368278,1.49003013,0.004936677
-999.5368278,1.497692857,0.00498989
-999.5368278,1.505355584,0.005045134
-999.5368278,1.513018312,0.005102456
-999.5368278,1.520681039,0.005161904
-999.5368278,1.528343766,0.005223523
-999.5368278,1.536006494,0.005287345
-999.5368278,1.543669221,0.005353377
-999.5368278,1.551331949,0.00542159
-999.5368278,1.558994676,0.00549192
-999.5368278,1.566657403,0.005564285
-999.5368278,1.574320131,0.005638589
-999.5368278,1.581982858,0.005714737
-999.5368278,1.589645586,0.005792632
