delta_c/2pi (MHz),Omega_p/2pi (MHz),EIT Amplitude (arb. units)
-999.4443398,0.512376327,0.006607636
-999.4443398,0.535964185,0.006265537
-999.4443398,0.559552042,0.00586025
-999.4443398,0.5831399,0.005483361
-999.4443398,0.606727758,0.005192097
-999.4443398,0.630315616,0.005009161
-999.4443398,0.653903473,0.004928821
-999.4443398,0.677491331,0.004945341
-999.4443398,0.701079189,0.00505299
-999.4443398,0.724667047,0.005246034
-999.4443398,0.748254905,0.00551874
-999.4443398,0.771842762,0.005865375
-999.4443398,0.79543062,0.006280205
-999.4443398,0.819018478,0.006757497
-999.4443398,0.842606336,0.007291518
-999.4443398,0.866194194,0.007876535
-999.4443398,0.889782051,0.008506815
-999.4443398,0.913369909,0.009176623
-999.4443398,0.936957767,0.009880228
-999.4443398,0.960545625,0.010611895
-999.4443398,0.984133482,0.011365892
-999.4443398,1.00772134,0.012136486
-999.4443398,1.031309198,0.012917942
-999.4443398,1.054897056,0.013704528
-999.4443398,1.078484914,0.014490511
-999.4443398,1.102072771,0.015270158
-999.4443398,1.125660629,0.016037734
-999.4443398,1.149248487,0.016787508
-999.4443398,1.172836345,0.017513745
-999.4443398,1.196424202,0.018210712
-999.4443398,1.22001206,0.018872677
-999.4443398,1.243599918,0.019493906
-999.4443398,1.267187776,0.020068666
-999.4443398,1.290775634,0.020591223
-999.4443398,1.314363491,0.021055845
-999.4443398,1.337951349,0.021456797
-999.4443398,1.361539207,0.021788348
-999.4443398,1.385127065,0.022044763
-999.4443398,1.408714923,0.02222031
-999.4443398,1.43230278,0.022309254
-999.4443398,1.455890638,0.022305864
-999.4443398,1.479478496,0.022204423
-999.4443398,1.503066354,0.021999591
-999.4443398,1.526654211,0.021687384
-999.4443398,1.550242069,0.021266696
-999.4443398,1.573829927,0.020740562
-999.4443398,1.597417785,0.020116065
-999.4443398,1.621005643,0.019402989
-999.4443398,1.6445935,0.018612332
-999.4443398,1.668181358,0.017755396
-999.4443398,1.691769216,0.016843492
-999.4443398,1.715357074,0.015887932
-999.4443398,1.738944932,0.014900028
-999.4443398,1.762532789,0.013891092
-999.4443398,1.786120647,0.012872435
-999.4443398,1.809708505,0.011855368
-999.4443398,1.833296363,0.010851204
-999.4443398,1.85688422,0.009871254
-999.4443398,1.880472078,0.008926829
-999.4443398,1.904059936,0.008029242
-999.4443398,1.927647794,0.007189803
-999.4443398,1.951235652,0.006419825
-999.4443398,1.974823509,0.005730619
-999.4443398,1.998411367,0.005133427
-999.4443398,2.021999225,0.00463881
-999.4443398,2.045587083,0.004255308
-999.4443398,2.069174941,0.003987607
-999.4443398,2.092762798,0.003835406
-999.4443398,2.116350656,0.003794028
-999.4443398,2.139938514,0.003856179
-999.4443398,2.163526372,0.004013522
-999.4443398,2.187114229,0.004257526
-999.4443398,2.210702087,0.004579661
-999.4443398,2.234289945,0.004971395
-999.4443398,2.257877803,0.005424199
-999.4443398,2.281465661,0.005929541
-999.4443398,2.305053518,0.006478891
-999.4443398,2.328641376,0.007063719
-999.4443398,2.352229234,0.007675493
-999.4443398,2.375817092,0.008305682
-999.4443398,2.39940495,0.008945757
-999.4443398,2.422992807,0.009587186
-999.4443398,2.446580665,0.010221441
-999.4443398,2.470168523,0.010840184
-999.4443398,2.493756381,0.011435942
-999.4443398,2.517344238,0.012003286
-999.4443398,2.540932096,0.012540017
-999.4443398,2.564519954,0.013047422
-999.4443398,2.588107812,0.013529347
-999.4443398,2.61169567,0.013990903
-999.4443398,2.635283527,0.014437596
-999.4443398,2.658871385,0.014874957
-999.4443398,2.682459243,0.015308519
-999.4443398,2.706047101,0.015743813
-999.4443398,2.729634959,0.016186371
-999.4443398,2.753222816,0.016641727
-999.4443398,2.776810674,0.017115411
-999.4443398,2.800398532,0.017612956
-999.4443398,2.82398639,0.018139895
-999.4443398,2.847574247,0.01870176
-999.4443398,2.871162105,0.019304082
-999.4443398,2.894749963,0.019952393
-999.4443398,2.918337821,0.020652227
-999.4443398,2.941925679,0.021408981
-999.4443398,2.965513536,0.022227205
-999.4443398,2.989101394,0.023109217
-999.4443398,3.012689252,0.024053443
-999.4443398,3.03627711,0.025053696
