delta_c/2pi (MHz),Omega_c/2pi (MHz),Ion Amplitude (arb. units)
-999.449679,0.539851933,0.082022956
-999.449679,0.547514661,0.082667163
-999.449679,0.555177388,0.083527367
-999.449679,0.562840116,0.084494088
-999.449679,0.570502843,0.085490253
-999.449679,0.57816557,0.08647827
-999.449679,0.585828298,0.087458279
-999.449679,0.593491025,0.088430421
-999.449679,0.601153753,0.089394836
-999.449679,0.60881648,0.090351665
-999.449679,0.616479207,0.09130105
-999.449679,0.624141935,0.092243129
-999.449679,0.631804662,0.093178044
-999.449679,0.639467389,0.094105935
-999.449679,0.647130117,0.095026943
-999.449679,0.654792844,0.095941209
-999.449679,0.662455572,0.096848873
-999.449679,0.670118299,0.097750075
-999.449679,0.677781026,0.098644957
-999.449679,0.685443754,0.099533658
-999.449679,0.693106481,0.100416319
-999.449679,0.700769209,0.101293082
-999.449679,0.708431936,0.102164086
-999.449679,0.716094663,0.103029472
-999.449679,0.723757391,0.10388938
-999.449679,0.731420118,0.104743952
-999.449679,0.739082846,0.105593327
-999.449679,0.746745573,0.106437646
-999.449679,0.7544083,0.107277051
-999.449679,0.762071028,0.10811168
-999.449679,0.769733755,0.108941676
-999.449679,0.777396482,0.109767179
-999.449679,0.78505921,0.110588328
-999.449679,0.792721937,0.111405265
-999.449679,0.800384665,0.11221813
-999.449679,0.808047392,0.113027065
-999.449679,0.815710119,0.113832208
-999.449679,0.823372847,0.114633702
-999.449679,0.831035574,0.115431686
-999.449679,0.838698302,0.116226301
-999.449679,0.846361029,0.117017688
-999.449679,0.854023756,0.117805987
-999.449679,0.861686484,0.118591339
-999.449679,0.869349211,0.119373884
-999.449679,0.877011938,0.120153763
-999.449679,0.884674666,0.120931117
-999.449679,0.892337393,0.121706085
-999.449679,0.900000121,0.122478809
-999.449679,0.907662848,0.12324943
-999.449679,0.915325575,0.124018087
-999.449679,0.922988303,0.124784922
-999.449679,0.93065103,0.125550074
-999.449679,0.938313758,0.126313685
-999.449679,0.945976485,0.127075895
-999.449679,0.953639212,0.127836845
-999.449679,0.96130194,0.128596675
-999.449679,0.968964667,0.129355525
-999.449679,0.976627395,0.130113537
-999.449679,0.984290122,0.130870851
-999.449679,0.991952849,0.131627607
-999.449679,0.999615577,0.132383946
-999.449679,1.007278304,0.133140009
-999.449679,1.014941031,0.133895936
-999.449679,1.022603759,0.134651868
-999.449679,1.030266486,0.135407945
-999.449679,1.037929214,0.136164307
-999.449679,1.045591941,0.136921097
-999.449679,1.053254668,0.137678453
-999.449679,1.060917396,0.138436517
-999.449679,1.068580123,0.139195429
-999.449679,1.076242851,0.139955329
-999.449679,1.083905578,0.140716359
-999.449679,1.091568305,0.141478659
-999.449679,1.099231033,0.142242369
-999.449679,1.10689376,0.14300763
-999.449679,1.114556488,0.143774582
-999.449679,1.122219215,0.144543367
-999.449679,1.129881942,0.145314124
-999.449679,1.13754467,0.146086995
-999.449679,1.145207397,0.146862119
-999.449679,1.152870124,0.147639638
-999.449679,1.160532852,0.148419692
-999.449679,1.168195579,0.149202421
-999.449679,1.175858307,0.149987966
-999.449679,1.183521034,0.150776468
-999.449679,1.191183761,0.151568067
-999.449679,1.198846489,0.152362904
-999.449679,1.206509216,0.153161119
-999.449679,1.214171944,0.153962854
-999.449679,1.221834671,0.154768247
-999.449679,1.229497398,0.155577441
-999.449679,1.237160126,0.156390575
-999.449679,1.244822853,0.157207791
-999.449679,1.25248558,0.158029228
-999.449679,1.260148308,0.158855028
-999.449679,1.267811035,0.15968533
-999.449679,1.275473763,0.160520276
-999.449679,1.28313649,0.161360006
-999.449679,1.290799217,0.162204661
-999.449679,1.298461945,0.16305438
-999.449679,1.306124672,0.163909306
-999.449679,1.3137874,0.164769577
-999.449679,1.321450127,0.165635336
-999.449679,1.329112854,0.166506722
-999.449679,1.336775582,0.167383876
-999.449679,1.344438309,0.168266939
-999.449679,1.352101037,0.169156051
-999.449679,1.359763764,0.170051352
-999.449679,1.367426491,0.170952984
-999.449679,1.375089219,0.171861086
-999.449679,1.382751946,0.1727758
-999.449679,1.390414673,0.173697266
-999.449679,1.398077401,0.174625625
-999.449679,1.405740128,0.175561016
-999.449679,1.413402856,0.176503581
-999.449679,1.421065583,0.177453461
-999.449679,1.42872831,0.178410795
-999.449679,1.436391038,0.179375725
-999.449679,1.444053765,0.180348391
-999.449679,1.451716493,0.181328933
-999.449679,1.45937922,0.182317492
-999.449679,1.467041947,0.183314209
-999.449679,1.474704675,0.184319224
-999.449679,1.482367402,0.185332678
-999.449679,1.49003013,0.186354712
-999.449679,1.497692857,0.187385465
-999.449679,1.505355584,0.188425078
-999.449679,1.513018312,0.189473693
-999.449679,1.520681039,0.190531449
-999.449679,1.528343766,0.191598473
-999.449679,1.536006494,0.192674853
-999.449679,1.543669221,0.193760592
-999.449679,1.551331949,0.194855576
-999.449679,1.558994676,0.195959577
-999.449679,1.566657403,0.1970723
-999.449679,1.574320131,0.198193415
-999.449679,1.581982858,0.199322584
-999.449679,1.589645586,0.200459473
-999.449679,1.597308313,0.201603744
-999.449679,1.60497104,0.20275506
-999.449679,1.612633768,0.203913086
-999.449679,1.620296495,0.205077483
-999.449679,1.627959223,0.206247917
-999.449679,1.63562195,0.20742405
-999.449679,1.643284677,0.208605546
-999.449679,1.650947405,0.209792068
-999.449679,1.658610132,0.210983279
-999.449679,1.666272859,0.212178844
-999.449679,1.673935587,0.213378425
-999.449679,1.681598314,0.214581685
-999.449679,1.689261042,0.215788289
-999.449679,1.696923769,0.2169979
-999.449679,1.704586496,0.218210181
-999.449679,1.712249224,0.219424795
-999.449679,1.719911951,0.220641407
-999.449679,1.727574679,0.221859679
-999.449679,1.735237406,0.223079274
-999.449679,1.742900133,0.224299857
-999.449679,1.750562861,0.225521091
-999.449679,1.758225588,0.226742639
-999.449679,1.765888315,0.227964164
-999.449679,1.773551043,0.22918533
-999.449679,1.78121377,0.230405801
-999.449679,1.788876498,0.231625239
-999.449679,1.796539225,0.232843309
-999.449679,1.804201952,0.234059673
-999.449679,1.81186468,0.235273996
-999.449679,1.819527407,0.23648594
-999.449679,1.827190135,0.237695168
-999.449679,1.834852862,0.238901346
-999.449679,1.842515589,0.240104135
-999.449679,1.850178317,0.241303199
-999.449679,1.857841044,0.242498202
-999.449679,1.865503772,0.243688807
-999.449679,1.873166499,0.244874677
-999.449679,1.880829226,0.246055477
-999.449679,1.888491954,0.247230868
-999.449679,1.896154681,0.248400516
-999.449679,1.903817408,0.249564082
-999.449679,1.911480136,0.250721232
-999.449679,1.919142863,0.251871627
-999.449679,1.926805591,0.253014932
-999.449679,1.934468318,0.254150809
-999.449679,1.942131045,0.255278923
-999.449679,1.949793773,0.256398937
-999.449679,1.9574565,0.257510514
-999.449679,1.965119228,0.258613318
-999.449679,1.972781955,0.259707011
-999.449679,1.980444682,0.260791258
-999.449679,1.98810741,0.261865722
-999.449679,1.995770137,0.262930066
-999.449679,2.003432865,0.263983954
-999.449679,2.011095592,0.265027049
-999.449679,2.018758319,0.266059015
-999.449679,2.026421047,0.267079515
-999.449679,2.034083774,0.268088212
-999.449679,2.041746501,0.269084769
-999.449679,2.049409229,0.270068852
-999.449679,2.057071956,0.271040122
-999.449679,2.064734684,0.271998243
-999.449679,2.072397411,0.272942879
-999.449679,2.080060138,0.273873712
-999.449679,2.087722866,0.274790479
-999.449679,2.095385593,0.275693039
-999.449679,2.103048321,0.276581421
-999.449679,2.110711048,0.277455818
-999.449679,2.118373775,0.278316533
-999.449679,2.126036503,0.279163915
-999.449679,2.13369923,0.279998324
-999.449679,2.141361957,0.280820122
-999.449679,2.149024685,0.281629671
-999.449679,2.156687412,0.282427331
-999.449679,2.16435014,0.283213464
-999.449679,2.172012867,0.283988431
-999.449679,2.179675594,0.284752593
-999.449679,2.187338322,0.285506313
-999.449679,2.195001049,0.28624995
-999.449679,2.202663777,0.286983867
-999.449679,2.210326504,0.287708425
-999.449679,2.217989231,0.288423984
-999.449679,2.225651959,0.289130907
-999.449679,2.233314686,0.289829555
-999.449679,2.240977414,0.290520288
-999.449679,2.248640141,0.291203469
-999.449679,2.256302868,0.291879458
-999.449679,2.263965596,0.292548616
-999.449679,2.271628323,0.293211306
-999.449679,2.27929105,0.293867889
-999.449679,2.286953778,0.294518725
-999.449679,2.294616505,0.295164176
-999.449679,2.302279233,0.295804603
-999.449679,2.30994196,0.296440368
-999.449679,2.317604687,0.297071832
-999.449679,2.325267415,0.297699356
-999.449679,2.332930142,0.298323302
-999.449679,2.34059287,0.298944031
-999.449679,2.348255597,0.299561903
-999.449679,2.355918324,0.300177281
-999.449679,2.363581052,0.300790526
-999.449679,2.371243779,0.301401999
-999.449679,2.378906507,0.302012061
-999.449679,2.386569234,0.302621074
-999.449679,2.394231961,0.303229398
-999.449679,2.401894689,0.303837396
-999.449679,2.409557416,0.304445429
-999.449679,2.417220143,0.305053857
-999.449679,2.424882871,0.305663043
-999.449679,2.432545598,0.306273346
-999.449679,2.440208326,0.30688513
-999.449679,2.447871053,0.307498755
-999.449679,2.45553378,0.308114582
-999.449679,2.463196508,0.308732972
-999.449679,2.470859235,0.309354288
-999.449679,2.478521963,0.30997889
-999.449679,2.48618469,0.310607139
-999.449679,2.493847417,0.311239398
-999.449679,2.501510145,0.311876026
-999.449679,2.509172872,0.312517386
-999.449679,2.516835599,0.313163839
-999.449679,2.524498327,0.313815745
-999.449679,2.532161054,0.314473468
-999.449679,2.539823782,0.315137366
-999.449679,2.547486509,0.315807803
-999.449679,2.555149236,0.316485139
-999.449679,2.562811964,0.317169736
-999.449679,2.570474691,0.317861954
-999.449679,2.578137419,0.318562156
-999.449679,2.585800146,0.319270702
-999.449679,2.593462873,0.319987954
-999.449679,2.601125601,0.320714273
-999.449679,2.608788328,0.32145002
-999.449679,2.616451056,0.322195557
-999.449679,2.624113783,0.322951246
-999.449679,2.63177651,0.323717446
-999.449679,2.639439238,0.32449452
-999.449679,2.647101965,0.325282829
-999.449679,2.654764692,0.326082734
-999.449679,2.66242742,0.326894596
-999.449679,2.670090147,0.327718778
-999.449679,2.677752875,0.328555639
-999.449679,2.685415602,0.329405542
-999.449679,2.693078329,0.330268847
-999.449679,2.700741057,0.331145917
-999.449679,2.708403784,0.332037112
-999.449679,2.716066512,0.332942793
-999.449679,2.723729239,0.333863323
-999.449679,2.731391966,0.334799061
-999.449679,2.739054694,0.33575037
-999.449679,2.746717421,0.336717611
-999.449679,2.754380149,0.337701145
-999.449679,2.762042876,0.338701334
-999.449679,2.769705603,0.339718538
-999.449679,2.777368331,0.340753119
-999.449679,2.785031058,0.341805439
-999.449679,2.792693785,0.342875858
-999.449679,2.800356513,0.343964738
-999.449679,2.80801924,0.345072441
-999.449679,2.815681968,0.346155871
-999.449679,2.823344695,0.347126084
-999.449679,2.831007422,0.347856025
-997.9489709,0.539851933,0.082283251
-997.9489709,0.547514661,0.082928429
-997.9489709,0.555177388,0.083789875
-997.9489709,0.562840116,0.084757905
-997.9489709,0.570502843,0.085755311
-997.9489709,0.57816557,0.086744435
-997.9489709,0.585828298,0.087725419
-997.9489709,0.593491025,0.088698403
-997.9489709,0.601153753,0.089663528
-997.9489709,0.60881648,0.090620935
-997.9489709,0.616479207,0.091570766
-997.9489709,0.624141935,0.092513162
-997.9489709,0.631804662,0.093448264
-997.9489709,0.639467389,0.094376212
-997.9489709,0.647130117,0.095297148
-997.9489709,0.654792844,0.096211212
-997.9489709,0.662455572,0.097118547
-997.9489709,0.670118299,0.098019293
-997.9489709,0.677781026,0.098913591
-997.9489709,0.685443754,0.099801581
-997.9489709,0.693106481,0.100683406
-997.9489709,0.700769209,0.101559207
-997.9489709,0.708431936,0.102429123
-997.9489709,0.716094663,0.103293297
