delta_c/2pi (MHz),Omega_p/2pi (MHz),Ion Amplitude (arb. units)
-999.4443398,0.512376327,0.315641692
-999.4443398,0.535964185,0.316236096
-999.4443398,0.559552042,0.317008751
-999.4443398,0.5831399,0.317844868
-999.4443398,0.606727758,0.318666459
-999.4443398,0.630315616,0.31943744
-999.4443398,0.653903473,0.32015994
-999.4443398,0.677491331,0.320836094
-999.4443398,0.701079189,0.321468031
-999.4443398,0.724667047,0.322057885
-999.4443398,0.748254905,0.322607786
-999.4443398,0.771842762,0.323119867
-999.4443398,0.79543062,0.32359626
-999.4443398,0.819018478,0.324039096
-999.4443398,0.842606336,0.324450506
-999.4443398,0.866194194,0.324832624
-999.4443398,0.889782051,0.32518758
-999.4443398,0.913369909,0.325517507
-999.4443398,0.936957767,0.325824536
-999.4443398,0.960545625,0.326110798
-999.4443398,0.984133482,0.326378427
-999.4443398,1.00772134,0.326629553
-999.4443398,1.031309198,0.326866309
-999.4443398,1.054897056,0.327090826
-999.4443398,1.078484914,0.327305235
-999.4443398,1.102072771,0.32751167
-999.4443398,1.125660629,0.327712261
-999.4443398,1.149248487,0.327909141
-999.4443398,1.172836345,0.32810444
-999.4443398,1.196424202,0.328300292
-999.4443398,1.22001206,0.328498827
-999.4443398,1.243599918,0.328702178
-999.4443398,1.267187776,0.328912477
-999.4443398,1.290775634,0.329131854
-999.4443398,1.314363491,0.329362442
-999.4443398,1.337951349,0.329606373
-999.4443398,1.361539207,0.329865779
-999.4443398,1.385127065,0.330142791
-999.4443398,1.408714923,0.330439541
-999.4443398,1.43230278,0.330758161
-999.4443398,1.455890638,0.331100783
-999.4443398,1.479478496,0.33146953
-999.4443398,1.503066354,0.331866354
-999.4443398,1.526654211,0.332292588
-999.4443398,1.550242069,0.332748246
-999.4443398,1.573829927,0.333231448
-999.4443398,1.597417785,0.333738463
-999.4443398,1.621005643,0.334264323
-999.4443398,1.6445935,0.334803507
-999.4443398,1.668181358,0.335350353
-999.4443398,1.691769216,0.335899194
-999.4443398,1.715357074,0.336444364
-999.4443398,1.738944932,0.336980198
-999.4443398,1.762532789,0.33750103
-999.4443398,1.786120647,0.338001193
-999.4443398,1.809708505,0.338475022
-999.4443398,1.833296363,0.33891685
-999.4443398,1.85688422,0.339321011
-999.4443398,1.880472078,0.33968184
-999.4443398,1.904059936,0.33999367
-999.4443398,1.927647794,0.340250835
-999.4443398,1.951235652,0.34044767
-999.4443398,1.974823509,0.340578508
-999.4443398,1.998411367,0.340637742
-999.4443398,2.021999225,0.340620336
-999.4443398,2.045587083,0.340522952
-999.4443398,2.069174941,0.340345489
-999.4443398,2.092762798,0.340092033
-999.4443398,2.116350656,0.339770349
-999.4443398,2.139938514,0.339390396
-999.4443398,2.163526372,0.338963011
-999.4443398,2.187114229,0.338499194
-999.4443398,2.210702087,0.338009943
-999.4443398,2.234289945,0.337506258
-999.4443398,2.257877803,0.336999139
-999.4443398,2.281465661,0.336499584
-999.4443398,2.305053518,0.336018593
-999.4443398,2.328641376,0.335567165
-999.4443398,2.352229234,0.335156299
-999.4443398,2.375817092,0.334796996
-999.4443398,2.39940495,0.334500253
-999.4443398,2.422992807,0.334277071
-999.4443398,2.446580665,0.334138445
-999.4443398,2.470168523,0.334095076
-999.4443398,2.493756381,0.334156312
-999.4443398,2.517344238,0.334328324
-999.4443398,2.540932096,0.334612248
-999.4443398,2.564519954,0.335003788
-999.4443398,2.588107812,0.335494669
-999.4443398,2.61169567,0.336074634
-999.4443398,2.635283527,0.336732823
-999.4443398,2.658871385,0.33745833
-999.4443398,2.682459243,0.338240247
-999.4443398,2.706047101,0.339067669
-999.4443398,2.729634959,0.339929689
-999.4443398,2.753222816,0.340815401
-999.4443398,2.776810674,0.341713899
-999.4443398,2.800398532,0.342614276
-999.4443398,2.82398639,0.343505626
-999.4443398,2.847574247,0.344377043
-999.4443398,2.871162105,0.345217619
-999.4443398,2.894749963,0.34601645
-999.4443398,2.918337821,0.346762629
-999.4443398,2.941925679,0.347445377
-999.4443398,2.965513536,0.348054729
-999.4443398,2.989101394,0.348582858
-999.4443398,3.012689252,0.349025663
-999.4443398,3.03627711,0.349383465
-999.4443398,3.059864967,0.349660138
-999.4443398,3.083452825,0.349861501
-999.4443398,3.107040683,0.349994063
-999.4443398,3.130628541,0.350064423
-999.4443398,3.154216399,0.350079179
-999.4443398,3.177804256,0.350044931
-999.4443398,3.201392114,0.349968275
-999.4443398,3.224979972,0.349855811
-999.4443398,3.24856783,0.349714137
-999.4443398,3.272155688,0.349549852
-999.4443398,3.295743545,0.349369554
-999.4443398,3.319331403,0.349179841
-999.4443398,3.342919261,0.348987312
-999.4443398,3.366507119,0.348798566
-999.4443398,3.390094976,0.348620201
-999.4443398,3.413682834,0.348458811
-999.4443398,3.437270692,0.348320842
-999.4443398,3.46085855,0.348212111
-999.4443398,3.484446408,0.348137013
-999.4443398,3.508034265,0.348097772
-999.4443398,3.531622123,0.348094346
-999.4443398,3.555209981,0.34812509
-999.4443398,3.578797839,0.348187592
-999.4443398,3.602385697,0.348279215
-999.4443398,3.625973554,0.348397312
-999.4443398,3.649561412,0.348539236
-999.4443398,3.67314927,0.348702339
-999.4443398,3.696737128,0.348883973
-999.4443398,3.720324985,0.349081492
-999.4443398,3.743912843,0.349292247
-999.4443398,3.767500701,0.349513592
-999.4443398,3.791088559,0.349742878
-999.4443398,3.814676417,0.349977458
-999.4443398,3.838264274,0.350214685
-999.4443398,3.861852132,0.350451911
-999.4443398,3.88543999,0.350686488
-999.4443398,3.909027848,0.35091577
-999.4443398,3.932615706,0.351137108
-999.4443398,3.956203563,0.351347855
-999.4443398,3.979791421,0.351545372
-999.4443398,4.003379279,0.351727132
-999.4443398,4.026967137,0.35189098
-999.4443398,4.050554994,0.352035511
-999.4443398,4.074142852,0.35216035
-999.4443398,4.09773071,0.352266078
-999.4443398,4.121318568,0.352353882
-999.4443398,4.144906426,0.35242521
-999.4443398,4.168494283,0.352481567
-999.4443398,4.192082141,0.352524459
-999.4443398,4.215669999,0.352555392
-999.4443398,4.239257857,0.352575871
-999.4443398,4.262845715,0.352587402
-999.4443398,4.286433572,0.352591491
-999.4443398,4.31002143,0.352589643
-999.4443398,4.333609288,0.352583364
-999.4443398,4.357197146,0.35257416
-999.4443398,4.380785003,0.352563537
-999.4443398,4.404372861,0.352553
-999.4443398,4.427960719,0.352544055
-999.4443398,4.451548577,0.352538207
-999.4443398,4.475136435,0.352536956
-999.4443398,4.498724292,0.352541733
-999.4443398,4.52231215,0.35255378
-999.4443398,4.545900008,0.352573984
-999.4443398,4.569487866,0.352602776
-999.4443398,4.593075724,0.352640194
-999.4443398,4.616663581,0.35268605
-999.4443398,4.640251439,0.352740063
-999.4443398,4.663839297,0.352801937
-999.4443398,4.687427155,0.352871377
-999.4443398,4.711015012,0.352948086
-999.4443398,4.73460287,0.353031769
-999.4443398,4.758190728,0.353122131
-999.4443398,4.781778586,0.353218875
-999.4443398,4.805366444,0.353321706
-999.4443398,4.828954301,0.353430328
-999.4443398,4.852542159,0.353544445
-999.4443398,4.876130017,0.353663762
-999.4443398,4.899717875,0.353787982
-999.4443398,4.923305732,0.353916811
-999.4443398,4.94689359,0.354049952
-999.4443398,4.970481448,0.354187109
-999.4443398,4.994069306,0.354327988
-999.4443398,5.017657164,0.354472291
-999.4443398,5.041245021,0.354619724
-999.4443398,5.064832879,0.354769994
-999.4443398,5.088420737,0.35492281
-999.4443398,5.112008595,0.355077887
-999.4443398,5.135596453,0.355234943
-999.4443398,5.15918431,0.355393701
-999.4443398,5.182772168,0.355553882
-999.4443398,5.206360026,0.35571521
-999.4443398,5.229947884,0.355877409
-999.4443398,5.253535741,0.356040199
-999.4443398,5.277123599,0.356203306
-999.4443398,5.300711457,0.356366451
-999.4443398,5.324299315,0.356529359
-999.4443398,5.347887173,0.35669175
-999.4443398,5.37147503,0.35685335
-999.4443398,5.395062888,0.35701388
-999.4443398,5.418650746,0.357173064
-999.4443398,5.442238604,0.357330625
-999.4443398,5.465826462,0.357486287
-999.4443398,5.489414319,0.3576398
-999.4443398,5.513002177,0.357790985
-999.4443398,5.536590035,0.357939809
-999.4443398,5.560177893,0.358086428
-999.4443398,5.58376575,0.358231169
-999.4443398,5.607353608,0.358374465
-999.4443398,5.630941466,0.358516792
-999.4443398,5.654529324,0.358658634
-999.4443398,5.678117182,0.358800477
-999.4443398,5.701705039,0.358942804
-999.4443398,5.725292897,0.3590861
-999.4443398,5.748880755,0.359230851
-999.4443398,5.772468613,0.35937754
-999.4443398,5.796056471,0.359526652
-999.4443398,5.819644328,0.359678673
-999.4443398,5.843232186,0.359834086
-999.4443398,5.866820044,0.359993376
-999.4443398,5.890407902,0.360157028
-999.4443398,5.913995759,0.360325526
-999.4443398,5.937583617,0.360499356
-999.4443398,5.961171475,0.360679
-999.4443398,5.984759333,0.360864914
-999.4443398,6.008347191,0.36105745
-999.4443398,6.031935048,0.361256745
-999.4443398,6.055522906,0.361462618
-999.4443398,6.079110764,0.361674581
-999.4443398,6.102698622,0.361891939
-999.4443398,6.12628648,0.362113903
-999.4443398,6.149874337,0.36233966
-999.4443398,6.173462195,0.362568398
-999.4443398,6.197050053,0.362799304
-999.4443398,6.220637911,0.363031565
-999.4443398,6.244225768,0.363264367
-999.4443398,6.267813626,0.363496898
-999.4443398,6.291401484,0.363728345
-999.4443398,6.314989342,0.363957894
-999.4443398,6.3385772,0.364184732
-999.4443398,6.362165057,0.364408047
-999.4443398,6.385752915,0.364627025
-999.4443398,6.409340773,0.364840854
-999.4443398,6.432928631,0.365048723
-999.4443398,6.456516489,0.365249853
-999.4443398,6.480104346,0.365443542
-999.4443398,6.503692204,0.365629233
-999.4443398,6.527280062,0.365806546
-999.4443398,6.55086792,0.36597525
-999.4443398,6.574455777,0.366135198
-999.4443398,6.598043635,0.366286277
-999.4443398,6.621631493,0.366428378
-999.4443398,6.645219351,0.36656139
-999.4443398,6.668807209,0.366685205
-999.4443398,6.692395066,0.366799712
-999.4443398,6.715982924,0.366904803
-999.4443398,6.739570782,0.367000368
-999.4443398,6.76315864,0.367086297
-999.4443398,6.786746498,0.367162482
-999.4443398,6.810334355,0.367228812
-999.4443398,6.833922213,0.367285178
-999.4443398,6.857510071,0.367331472
-999.4443398,6.881097929,0.367367583
-999.4443398,6.904685786,0.367393401
-999.4443398,6.928273644,0.367408819
-999.4443398,6.951861502,0.367413725
-999.4443398,6.97544936,0.367408011
-999.4443398,6.999037218,0.367391568
-999.4443398,7.022625075,0.367364285
-999.4443398,7.046212933,0.367326053
-999.4443398,7.069800791,0.367276764
-999.4443398,7.093388649,0.367216307
-999.4443398,7.116976506,0.367144573
-999.4443398,7.140564364,0.367061453
-999.4443398,7.164152222,0.366966837
-999.4443398,7.18774008,0.366860615
-999.4443398,7.211327938,0.366742679
-999.4443398,7.234915795,0.366612919
-999.4443398,7.258503653,0.366471226
-999.4443398,7.282091511,0.366317489
-999.4443398,7.305679369,0.3661516
-999.4443398,7.329267227,0.36597345
-999.4443398,7.352855084,0.365782928
-999.4443398,7.376442942,0.365579925
-999.4443398,7.4000308,0.365364332
-999.4443398,7.423618658,0.36513604
-999.4443398,7.447206515,0.364894938
-999.4443398,7.470794373,0.364640918
-999.4443398,7.494382231,0.364373871
-999.4443398,7.517970089,0.364105414
-999.4443398,7.541557947,0.363859833
-999.4443398,7.565145804,0.363672298
-997.9440193,0.512376327,0.316665373
-997.9440193,0.535964185,0.317308633
-997.9440193,0.559552042,0.318141181
-997.9440193,0.5831399,0.319036437
-997.9440193,0.606727758,0.319908841
-997.9440193,0.630315616,0.320719127
-997.9440193,0.653903473,0.321469973
-997.9440193,0.677491331,0.322164059
-997.9440193,0.701079189,0.322804063
-997.9440193,0.724667047,0.323392663
-997.9440193,0.748254905,0.323932539
-997.9440193,0.771842762,0.324426368
-997.9440193,0.79543062,0.324876831
-997.9440193,0.819018478,0.325286605
-997.9440193,0.842606336,0.325658369
-997.9440193,0.866194194,0.325994802
-997.9440193,0.889782051,0.326298583
-997.9440193,0.913369909,0.32657239
-997.9440193,0.936957767,0.326818902
-997.9440193,0.960545625,0.327040798
-997.9440193,0.984133482,0.327240757
-997.9440193,1.00772134,0.327421456
-997.9440193,1.031309198,0.327585575
-997.9440193,1.054897056,0.327735793
-997.9440193,1.078484914,0.327874788
-997.9440193,1.102072771,0.32800524
-997.9440193,1.125660629,0.328129825
-997.9440193,1.149248487,0.328251224
-997.9440193,1.172836345,0.328372116
-997.9440193,1.196424202,0.328495178
-997.9440193,1.22001206,0.328623089
-997.9440193,1.243599918,0.328758529
-997.9440193,1.267187776,0.328904176
-997.9440193,1.290775634,0.329062708
-997.9440193,1.314363491,0.329236804
-997.9440193,1.337951349,0.329429144
-997.9440193,1.361539207,0.329642405
-997.9440193,1.385127065,0.329879267
-997.9440193,1.408714923,0.330142408
-997.9440193,1.43230278,0.330434507
-997.9440193,1.455890638,0.330758242
-997.9440193,1.479478496,0.331116283
-997.9440193,1.503066354,0.331511095
-997.9440193,1.526654211,0.331944407
-997.9440193,1.550242069,0.332416385
-997.9440193,1.573829927,0.332924948
-997.9440193,1.597417785,0.333465813
-997.9440193,1.621005643,0.334033235
-997.9440193,1.6445935,0.334620809
-997.9440193,1.668181358,0.335221962
-997.9440193,1.691769216,0.335830119
-997.9440193,1.715357074,0.336438702
-997.9440193,1.738944932,0.337041137
-997.9440193,1.762532789,0.337630846
-997.9440193,1.786120647,0.338201253
-997.9440193,1.809708505,0.338745781
-997.9440193,1.833296363,0.339257855
-997.9440193,1.85688422,0.339730899
-997.9440193,1.880472078,0.340158335
-997.9440193,1.904059936,0.340533587
-997.9440193,1.927647794,0.34085008
-997.9440193,1.951235652,0.341101237
-997.9440193,1.974823509,0.341280481
-997.9440193,1.998411367,0.3413813
-997.9440193,2.021999225,0.341397802
-997.9440193,2.045587083,0.341325938
-997.9440193,2.069174941,0.341165173
-997.9440193,2.092762798,0.340919521
-997.9440193,2.116350656,0.340596984
-997.9440193,2.139938514,0.340207952
-997.9440193,2.163526372,0.339763766
-997.9440193,2.187114229,0.339275942
-997.9440193,2.210702087,0.338755999
-997.9440193,2.234289945,0.338215454
-997.9440193,2.257877803,0.337665824
-997.9440193,2.281465661,0.337118625
-997.9440193,2.305053518,0.336585376
-997.9440193,2.328641376,0.336077593
-997.9440193,2.352229234,0.335606794
-997.9440193,2.375817092,0.335184496
-997.9440193,2.39940495,0.334822217
-997.9440193,2.422992807,0.334531473
-997.9440193,2.446580665,0.334323778
-997.9440193,2.470168523,0.334210348
-997.9440193,2.493756381,0.334201028
-997.9440193,2.517344238,0.334302448
-997.9440193,2.540932096,0.334516141
-997.9440193,2.564519954,0.334838141
-997.9440193,2.588107812,0.335260454
-997.9440193,2.61169567,0.335773083
-997.9440193,2.635283527,0.336365416
-997.9440193,2.658871385,0.337026796
-997.9440193,2.682459243,0.337746567
-997.9440193,2.706047101,0.33851407
-997.9440193,2.729634959,0.339318649
-997.9440193,2.753222816,0.340149648
-997.9440193,2.776810674,0.340996409
-997.9440193,2.800398532,0.341848275
-997.9440193,2.82398639,0.34269459
-997.9440193,2.847574247,0.343524697
-997.9440193,2.871162105,0.344327938
-997.9440193,2.894749963,0.345093656
-997.9440193,2.918337821,0.345811196
-997.9440193,2.941925679,0.346470024
-997.9440193,2.965513536,0.347060403
-997.9440193,2.989101394,0.347574682
-997.9440193,3.012689252,0.348008847
-997.9440193,3.03627711,0.348363202
-997.9440193,3.059864967,0.348641521
-997.9440193,3.083452825,0.348849474
-997.9440193,3.107040683,0.348993406
-997.9440193,3.130628541,0.349079749
-997.9440193,3.154216399,0.349114936
-997.9440193,3.177804256,0.3491054
-997.9440193,3.201392114,0.349057571
-997.9440193,3.224979972,0.348977884
-997.9440193,3.24856783,0.348872769
-997.9440193,3.272155688,0.348748658
-997.9440193,3.295743545,0.348611986
-997.9440193,3.319331403,0.348469182
-997.9440193,3.342919261,0.34832668
-997.9440193,3.366507119,0.348190912
-997.9440193,3.390094976,0.34806831
-997.9440193,3.413682834,0.347965303
-997.9440193,3.437270692,0.347888168
-997.9440193,3.46085855,0.347842548
-997.9440193,3.484446408,0.347832652
-997.9440193,3.508034265,0.347860496
-997.9440193,3.531622123,0.34792581
-997.9440193,3.555209981,0.348026706
-997.9440193,3.578797839,0.348160518
-997.9440193,3.602385697,0.34832436
-997.9440193,3.625973554,0.348515329
-997.9440193,3.649561412,0.348730526
-997.9440193,3.67314927,0.34896705
-997.9440193,3.696737128,0.349222
-997.9440193,3.720324985,0.349492476
-997.9440193,3.743912843,0.349775577
-997.9440193,3.767500701,0.350068402
-997.9440193,3.791088559,0.350368051
-997.9440193,3.814676417,0.350671623
-997.9440193,3.838264274,0.350976218
-997.9440193,3.861852132,0.351278934
-997.9440193,3.88543999,0.351576872
-997.9440193,3.909027848,0.35186713
-997.9440193,3.932615706,0.352146808
-997.9440193,3.956203563,0.352413006
-997.9440193,3.979791421,0.352662831
-997.9440193,4.003379279,0.352893505
-997.9440193,4.026967137,0.353102628
-997.9440193,4.050554994,0.353288563
-997.9440193,4.074142852,0.353450719
-997.9440193,4.09773071,0.353589477
-997.9440193,4.121318568,0.353705834
-997.9440193,4.144906426,0.353801055
-997.9440193,4.168494283,0.353876457
-997.9440193,4.192082141,0.353933364
-997.9440193,4.215669999,0.353973096
-997.9440193,4.239257857,0.353996975
-997.9440193,4.262845715,0.354006321
-997.9440193,4.286433572,0.354002456
-997.9440193,4.31002143,0.353986701
-997.9440193,4.333609288,0.353960378
-997.9440193,4.357197146,0.353924807
-997.9440193,4.380785003,0.35388131
-997.9440193,4.404372861,0.353831208
-997.9440193,4.427960719,0.353775823
-997.9440193,4.451548577,0.353716475
-997.9440193,4.475136435,0.353654482
-997.9440193,4.498724292,0.353591134
-997.9440193,4.52231215,0.353527634
-997.9440193,4.545900008,0.353465028
-997.9440193,4.569487866,0.35340416
-997.9440193,4.593075724,0.3533457
-997.9440193,4.616663581,0.353290215
-997.9440193,4.640251439,0.353238233
-997.9440193,4.663839297,0.353190275
-997.9440193,4.687427155,0.353146862
-997.9440193,4.711015012,0.353108514
-997.9440193,4.73460287,0.353075753
-997.9440193,4.758190728,0.353049099
-997.9440193,4.781778586,0.353029072
-997.9440193,4.805366444,0.353016195
-997.9440193,4.828954301,0.353010986
-997.9440193,4.852542159,0.353013968
-997.9440193,4.876130017,0.353025662
-997.9440193,4.899717875,0.353046587
-997.9440193,4.923305732,0.353077264
-997.9440193,4.94689359,0.353118215
-997.9440193,4.970481448,0.35316996
-997.9440193,4.994069306,0.353233021
-997.9440193,5.017657164,0.353307914
-997.9440193,5.041245021,0.353395112
-997.9440193,5.064832879,0.353494939
-997.9440193,5.088420737,0.353607424
-997.9440193,5.112008595,0.353732183
-997.9440193,5.135596453,0.353868455
-997.9440193,5.15918431,0.354015238
-997.9440193,5.182772168,0.354171428
-997.9440193,5.206360026,0.354335896
-997.9440193,5.229947884,0.354507515
-997.9440193,5.253535741,0.354685156
-997.9440193,5.277123599,0.354867693
-997.9440193,5.300711457,0.355053998
-997.9440193,5.324299315,0.355242941
-997.9440193,5.347887173,0.355433397
-997.9440193,5.37147503,0.355624236
-997.9440193,5.395062888,0.355814331
-997.9440193,5.418650746,0.356002555
-997.9440193,5.442238604,0.356187778
-997.9440193,5.465826462,0.35636888
-997.9440193,5.489414319,0.356544799
-997.9440193,5.513002177,0.356714666
-997.9440193,5.536590035,0.356877986
-997.9440193,5.560177893,0.357034759
-997.9440193,5.58376575,0.357185431
-997.9440193,5.607353608,0.357330723
-997.9440193,5.630941466,0.357471468
-997.9440193,5.654529324,0.357608522
-997.9440193,5.678117182,0.35774274
-997.9440193,5.701705039,0.357874978
-997.9440193,5.725292897,0.358006092
-997.9440193,5.748880755,0.358136938
-997.9440193,5.772468613,0.358268372
-997.9440193,5.796056471,0.358401248
-997.9440193,5.819644328,0.358536424
-997.9440193,5.843232186,0.358674754
-997.9440193,5.866820044,0.358817094
-997.9440193,5.890407902,0.358964301
-997.9440193,5.913995759,0.35911723
-997.9440193,5.937583617,0.359276736
-997.9440193,5.961171475,0.359443674
-997.9440193,5.984759333,0.359618855
-997.9440193,6.008347191,0.359802936
-997.9440193,6.031935048,0.359996249
-997.9440193,6.055522906,0.360198649
-997.9440193,6.079110764,0.360409527
-997.9440193,6.102698622,0.360627966
-997.9440193,6.12628648,0.360852903
-997.9440193,6.149874337,0.361083244
-997.9440193,6.173462195,0.361317893
-997.9440193,6.197050053,0.361555752
-997.9440193,6.220637911,0.361795724
-997.9440193,6.244225768,0.362036714
-997.9440193,6.267813626,0.362277624
-997.9440193,6.291401484,0.362517358
-997.9440193,6.314989342,0.362754819
-997.9440193,6.3385772,0.36298891
-997.9440193,6.362165057,0.363218534
-997.9440193,6.385752915,0.363442596
-997.9440193,6.409340773,0.363659997
-997.9440193,6.432928631,0.36386965
-997.9440193,6.456516489,0.364070518
-997.9440193,6.480104346,0.364261721
-997.9440193,6.503692204,0.364442655
-997.9440193,6.527280062,0.364613055
-997.9440193,6.55086792,0.364772946
-997.9440193,6.574455777,0.364922515
-997.9440193,6.598043635,0.365062011
-997.9440193,6.621631493,0.365191689
-997.9440193,6.645219351,0.365311809
-997.9440193,6.668807209,0.365422627
-997.9440193,6.692395066,0.365524401
-997.9440193,6.715982924,0.365617389
-997.9440193,6.739570782,0.365701848
-997.9440193,6.76315864,0.365778035
-997.9440193,6.786746498,0.365846208
-997.9440193,6.810334355,0.365906625
-997.9440193,6.833922213,0.365959543
-997.9440193,6.857510071,0.366005219
-997.9440193,6.881097929,0.366043911
-997.9440193,6.904685786,0.366075877
