EIT_sqrt(P_sig) (mW^1/2),EIT_ E_RF (V/m),Fit_EIT_sqrt(P_sig) (mW^1/2),Fit_EIT_ E_RF (V/m),Ion_sqrt(P_sig) (mW^1/2),Ion_ E_RF (V/m),Fit_Ion_sqrt(P_sig) (mW^1/2),Ion_EIT_ E_RF (V/m)
0.001,0,0.001,0.037059346,0.001,0,0.001,0.025979224
0.630957344,0.47953341,0.630957344,0.52694904,0.794328235,0.60990972,0.794328235,0.685074506
0.794328235,0.623392976,0.794328235,0.653995285,1,0.871300196,1,0.855946138
1,0.815205948,1,0.813937032,1.258925412,1.176254856,1.258925412,1.071060777
1.258925412,1.102926386,1.258925412,1.015291761,1.584893192,1.350514956,1.584893192,1.341874063
1.584893192,1.294741319,1.584893192,1.268782346,1.995262315,1.655445131,1.995262315,1.682807791
1.995262315,1.630413203,1.995262315,1.587908086,2.511886432,2.134677888,2.511886432,2.112017925
2.511886432,1.96608378,2.511886432,1.989663589,3.16227766,2.657460148,3.16227766,2.652361469
3.16227766,2.493571903,3.16227766,2.495443802,3.981071706,3.310934705,3.981071706,3.332613688
3.981071706,3.164915671,3.981071706,3.132183364,5.011872336,4.182238472,5.011872336,4.189000493
5.011872336,3.884220035,5.011872336,3.93379098,NaN,NaN,NaN,NaN
