RF_power_EITBeatNoteData,Amplitude_EITBeatNoteData,RF_power_MeasuredNoiseFloor,Amplitude_MeasuredNoiseFloor,RF_power_fit,Amplitude_fit
-85,-94.204,-103.141598331943,-103.141598331943,-103.141598331943,-112.30865428762
-80,-89.8902,-102.141598331943,-103.141598331943,-102.141598331943,-111.32556628762
-75,-84.6916,-101.141598331943,-103.141598331943,-101.141598331943,-110.34247828762
-70,-79.6348,-100.141598331943,-103.141598331943,-100.141598331943,-109.35939028762
-65,-74.874,-99.1415983319433,-103.141598331943,-99.1415983319433,-108.37630228762
-60,-69.817,-98.1415983319433,-103.141598331943,-98.1415983319433,-107.39321428762
NaN,NaN,-97.1415983319433,-103.141598331943,-97.1415983319433,-106.41012628762
NaN,NaN,-96.1415983319433,-103.141598331943,-96.1415983319433,-105.42703828762
NaN,NaN,-95.1415983319433,-103.141598331943,-95.1415983319433,-104.44395028762
NaN,NaN,-94.1415983319433,-103.141598331943,-94.1415983319433,-103.46086228762
NaN,NaN,-93.1415983319433,-103.141598331943,-93.1415983319433,-102.47777428762
NaN,NaN,-92.1415983319433,-103.141598331943,-92.1415983319433,-101.49468628762
NaN,NaN,-91.1415983319433,-103.141598331943,-91.1415983319433,-100.51159828762
NaN,NaN,-90.1415983319433,-103.141598331943,-90.1415983319433,-99.5285102876201
NaN,NaN,-89.1415983319433,-103.141598331943,-89.1415983319433,-98.5454222876201
NaN,NaN,-88.1415983319433,-103.141598331943,-88.1415983319433,-97.5623342876201
NaN,NaN,-87.1415983319433,-103.141598331943,-87.1415983319433,-96.5792462876201
NaN,NaN,-86.1415983319433,-103.141598331943,-86.1415983319433,-95.5961582876201
NaN,NaN,-85.1415983319433,-103.141598331943,-85.1415983319433,-94.6130702876201
NaN,NaN,-84.1415983319433,-103.141598331943,-84.1415983319433,-93.6299822876201
NaN,NaN,-83.1415983319433,-103.141598331943,-83.1415983319433,-92.6468942876201
NaN,NaN,-82.1415983319433,-103.141598331943,-82.1415983319433,-91.6638062876201
NaN,NaN,-81.1415983319433,-103.141598331943,-81.1415983319433,-90.6807182876201
NaN,NaN,-80.1415983319433,-103.141598331943,-80.1415983319433,-89.6976302876201
NaN,NaN,-79.1415983319433,-103.141598331943,-79.1415983319433,-88.7145422876201
NaN,NaN,-78.1415983319433,-103.141598331943,-78.1415983319433,-87.7314542876201
NaN,NaN,-77.1415983319433,-103.141598331943,-77.1415983319433,-86.7483662876201
NaN,NaN,-76.1415983319433,-103.141598331943,-76.1415983319433,-85.7652782876201
NaN,NaN,-75.1415983319433,-103.141598331943,-75.1415983319433,-84.7821902876201
NaN,NaN,-74.1415983319433,-103.141598331943,-74.1415983319433,-83.7991022876201
NaN,NaN,-73.1415983319433,-103.141598331943,-73.1415983319433,-82.8160142876201
NaN,NaN,-72.1415983319433,-103.141598331943,-72.1415983319433,-81.8329262876201
NaN,NaN,-71.1415983319433,-103.141598331943,-71.1415983319433,-80.8498382876201
NaN,NaN,-70.1415983319433,-103.141598331943,-70.1415983319433,-79.8667502876201
NaN,NaN,-69.1415983319433,-103.141598331943,-69.1415983319433,-78.8836622876201
NaN,NaN,-68.1415983319433,-103.141598331943,-68.1415983319433,-77.9005742876201
NaN,NaN,-67.1415983319433,-103.141598331943,-67.1415983319433,-76.9174862876201
NaN,NaN,-66.1415983319433,-103.141598331943,-66.1415983319433,-75.9343982876201
NaN,NaN,-65.1415983319433,-103.141598331943,-65.1415983319433,-74.9513102876201
NaN,NaN,-64.1415983319433,-103.141598331943,-64.1415983319433,-73.9682222876201
NaN,NaN,-63.1415983319433,-103.141598331943,-63.1415983319433,-72.9851342876201
NaN,NaN,-62.1415983319433,-103.141598331943,-62.1415983319433,-72.0020462876201
NaN,NaN,-61.1415983319433,-103.141598331943,-61.1415983319433,-71.0189582876201
NaN,NaN,-60.1415983319433,-103.141598331943,-60.1415983319433,-70.0358702876201
