RF_power_EITBeatNoteData,Amplitude_EITBeatNoteData,RF_power_MeasuredNoiseFloor,Amplitude_MeasuredNoiseFloor,RF_power_fit,Amplitude_fit
-70,-81.1832002,-96.2986869116451,-90.9986869116451,-96.2986869116451,-106.954001161493
-65,-77.7527998,-95.2986869116451,-90.9986869116451,-95.2986869116451,-106.004044593493
-60,-73.0624008,-94.2986869116451,-90.9986869116451,-94.2986869116451,-105.054088025493
-55,-67.7744016,-93.2986869116451,-90.9986869116451,-93.2986869116451,-104.104131457493
-50,-62.9119994,-92.2986869116451,-90.9986869116451,-92.2986869116451,-103.154174889493
-45,-57.8968004,-91.2986869116451,-90.9986869116451,-91.2986869116451,-102.204218321493
NaN,NaN,-90.2986869116451,-90.9986869116451,-90.2986869116451,-101.254261753493
NaN,NaN,-89.2986869116451,-90.9986869116451,-89.2986869116451,-100.304305185493
NaN,NaN,-88.2986869116451,-90.9986869116451,-88.2986869116451,-99.3543486174929
NaN,NaN,-87.2986869116451,-90.9986869116451,-87.2986869116451,-98.4043920494929
NaN,NaN,-86.2986869116451,-90.9986869116451,-86.2986869116451,-97.4544354814929
NaN,NaN,-85.2986869116451,-90.9986869116451,-85.2986869116451,-96.5044789134929
NaN,NaN,-84.2986869116451,-90.9986869116451,-84.2986869116451,-95.5545223454929
NaN,NaN,-83.2986869116451,-90.9986869116451,-83.2986869116451,-94.6045657774929
NaN,NaN,-82.2986869116451,-90.9986869116451,-82.2986869116451,-93.6546092094929
NaN,NaN,-81.2986869116451,-90.9986869116451,-81.2986869116451,-92.7046526414929
NaN,NaN,-80.2986869116451,-90.9986869116451,-80.2986869116451,-91.7546960734929
NaN,NaN,-79.2986869116451,-90.9986869116451,-79.2986869116451,-90.8047395054929
NaN,NaN,-78.2986869116451,-90.9986869116451,-78.2986869116451,-89.8547829374929
NaN,NaN,-77.2986869116451,-90.9986869116451,-77.2986869116451,-88.9048263694929
NaN,NaN,-76.2986869116451,-90.9986869116451,-76.2986869116451,-87.9548698014929
NaN,NaN,-75.2986869116451,-90.9986869116451,-75.2986869116451,-87.0049132334929
NaN,NaN,-74.2986869116451,-90.9986869116451,-74.2986869116451,-86.0549566654929
NaN,NaN,-73.2986869116451,-90.9986869116451,-73.2986869116451,-85.1050000974929
NaN,NaN,-72.2986869116451,-90.9986869116451,-72.2986869116451,-84.1550435294929
NaN,NaN,-71.2986869116451,-90.9986869116451,-71.2986869116451,-83.2050869614929
NaN,NaN,-70.2986869116451,-90.9986869116451,-70.2986869116451,-82.2551303934929
NaN,NaN,-69.2986869116451,-90.9986869116451,-69.2986869116451,-81.3051738254929
NaN,NaN,-68.2986869116451,-90.9986869116451,-68.2986869116451,-80.3552172574929
NaN,NaN,-67.2986869116451,-90.9986869116451,-67.2986869116451,-79.4052606894929
NaN,NaN,-66.2986869116451,-90.9986869116451,-66.2986869116451,-78.4553041214929
NaN,NaN,-65.2986869116451,-90.9986869116451,-65.2986869116451,-77.5053475534929
NaN,NaN,-64.2986869116451,-90.9986869116451,-64.2986869116451,-76.5553909854929
NaN,NaN,-63.2986869116451,-90.9986869116451,-63.2986869116451,-75.6054344174929
NaN,NaN,-62.2986869116451,-90.9986869116451,-62.2986869116451,-74.6554778494929
NaN,NaN,-61.2986869116451,-90.9986869116451,-61.2986869116451,-73.7055212814929
NaN,NaN,-60.2986869116451,-90.9986869116451,-60.2986869116451,-72.7555647134929
NaN,NaN,-59.2986869116451,-90.9986869116451,-59.2986869116451,-71.8056081454929
NaN,NaN,-58.2986869116451,-90.9986869116451,-58.2986869116451,-70.8556515774929
NaN,NaN,-57.2986869116451,-90.9986869116451,-57.2986869116451,-69.9056950094929
NaN,NaN,-56.2986869116451,-90.9986869116451,-56.2986869116451,-68.9557384414929
NaN,NaN,-55.2986869116451,-90.9986869116451,-55.2986869116451,-68.0057818734929
NaN,NaN,-54.2986869116451,-90.9986869116451,-54.2986869116451,-67.0558253054929
NaN,NaN,-53.2986869116451,-90.9986869116451,-53.2986869116451,-66.1058687374929
NaN,NaN,-52.2986869116451,-90.9986869116451,-52.2986869116451,-65.1559121694929
NaN,NaN,-51.2986869116451,-90.9986869116451,-51.2986869116451,-64.2059556014929
NaN,NaN,-50.2986869116451,-90.9986869116451,-50.2986869116451,-63.2559990334929
NaN,NaN,-49.2986869116451,-90.9986869116451,-49.2986869116451,-62.3060424654929
NaN,NaN,-48.2986869116451,-90.9986869116451,-48.2986869116451,-61.3560858974929
NaN,NaN,-47.2986869116451,-90.9986869116451,-47.2986869116451,-60.4061293294929
NaN,NaN,-46.2986869116451,-90.9986869116451,-46.2986869116451,-59.4561727614929
NaN,NaN,-45.2986869116451,-90.9986869116451,-45.2986869116451,-58.5062161934929
