Frequency (kHz),SA_Noise (dBm),PD_Noise  (dBm),Probe_Noise  (dBm),Probe_Coupling_Noise  (dBm),Probe_Coupling_RF_Noise  (dBm)
0,NaN,NaN,NaN,NaN,NaN
0.036297641,-76.940001,-77.1120012,-77.1847994,-76.9864012,-76.8167998
0.072595281,-103.6976012,-104.0504014,-104.5248,-103.7951996,-103.9864
0.108892922,-106.0263976,-106.3248016,-107.2824006,-107.1647996,-106.6087998
0.145190563,-108.0423996,-108.0400008,-108.5487992,-107.423201,-108.3927992
0.181488203,-109.6015992,-108.8807998,-109.0271986,-109.6216002,-109.3967988
0.217785844,-110.3304002,-110.292798,-109.6856002,-110.3495986,-109.9671998
0.254083485,-111.0727994,-111.0087998,-110.6223998,-110.4295992,-111.0992004
0.290381125,-111.4280014,-111.3039994,-111.415999,-110.5632004,-111.5639998
0.326678766,-111.7336,-112.6744004,-111.7720014,-110.712802,-111.2720002
0.362976407,-112.1680008,-111.9399994,-112.884799,-111.595999,-112.7391982
0.399274047,-113.400798,-112.3415986,-112.7144012,-111.5023988,-112.4656006
0.435571688,-113.264003,-111.9544008,-113.6407988,-111.1943986,-113.6760008
0.471869328,-113.4720002,-112.9720002,-112.876799,-111.1807982,-113.0056014
0.508166969,-113.5504012,-113.8647996,-112.9080004,-110.892798,-113.6759996
0.54446461,-114.3528002,-113.5919984,-114.3063996,-110.7151994,-112.9847992
0.58076225,-114.1240006,-114.172,-114.764,-111.1567992,-112.8991986
0.617059891,-114.9359986,-114.301599,-115.0479994,-109.5024004,-113.1239992
0.653357532,-114.5440002,-114.7335998,-114.8832002,-109.4431992,-113.6264008
0.689655172,-115.037599,-114.9911986,-114.6847992,-109.3871994,-113.643199
0.725952813,-114.9920016,-114.5120028,-113.448799,-108.8055984,-113.5072008
0.762250454,-116.1544008,-115.0360016,-114.1752012,-109.1711992,-113.2199996
0.798548094,-115.9752014,-114.8175996,-114.6023988,-108.7703994,-113.6791992
0.834845735,-114.7120008,-114.5215988,-113.6215974,-108.2672012,-113.7176012
0.871143376,-115.7880004,-115.2448012,-114.5199998,-107.6895996,-113.5079988
0.907441016,-115.6536012,-114.2695998,-115.0783996,-107.9383988,-113.4608016
0.943738657,-116.2751998,-114.9880006,-114.7527986,-107.5839998,-113.4623976
0.980036298,-116.320799,-114.7095976,-114.6423998,-107.4472016,-113.2328018
1.016333938,-116.0079986,-115.1184006,-115.3231994,-106.413602,-113.3607988
1.052631579,-116.6015994,-115.078401,-115.1568006,-107.1503996,-114.2503998
1.08892922,-116.7807984,-115.1863984,-114.8704012,-106.8359986,-113.2080002
1.12522686,-116.7888,-115.5144014,-114.9935992,-107.1479982,-112.1384002
1.161524501,-116.6079984,-114.5920014,-114.188002,-106.5552002,-112.471199
1.197822142,-116.5848006,-114.7776002,-113.7551986,-106.0680008,-112.7160006
1.234119782,-117.6463988,-114.8335982,-114.9104002,-105.1847992,-112.7032014
1.270417423,-117.3167998,-115.0800004,-114.0224,-105.9576002,-112.5455978
1.306715064,-117.4936006,-114.8104004,-114.4759996,-106.2415998,-111.9248004
1.343012704,-117.9935988,-115.0088012,-114.5824008,-104.9624024,-112.3447998
1.379310345,-117.7888,-115.117601,-114.5615984,-103.9440002,-111.8935988
1.415607985,-117.2871994,-114.1311996,-114.6168,-105.2311998,-112.4440004
1.451905626,-117.2736008,-115.6192014,-114.8200014,-105.0679992,-112.2032012
1.488203267,-117.7943984,-115.1255996,-114.9056,-105.2431992,-112.6464002
1.524500907,-117.8735992,-114.0607984,-114.8463972,-104.9192002,-111.3431992
1.560798548,-118.1992004,-115.061598,-115.0936004,-104.4623992,-110.9151996
1.597096189,-118.3656022,-115.5264006,-114.8983978,-104.4271986,-109.8744018
1.633393829,-119.0352006,-115.1128006,-114.7783994,-103.8143982,-110.5192002
1.66969147,-118.7087998,-115.3935988,-112.7160006,-104.5983992,-110.6888002
1.705989111,-119.4455994,-114.7063996,-113.4584,-103.384801,-109.8224
1.742286751,-118.0432008,-115.3263994,-113.4583986,-102.8808016,-109.7944
1.778584392,-117.9640014,-115.0744002,-114.532001,-103.6423996,-110.4415998
1.814882033,-118.7375994,-113.1928008,-114.012001,-102.7824022,-111.2200014
1.851179673,-119.1343992,-114.7024004,-113.5192002,-102.828,-110.8968002
1.887477314,-118.564,-114.9528,-113.6087994,-103.0231996,-110.3687988
1.923774955,-118.6008012,-113.6095992,-112.836,-102.2160002,-110.7295988
1.960072595,-118.8624008,-115.2031998,-113.5847992,-102.0631988,-109.9944
1.996370236,-119.3392014,-114.359999,-113.3447998,-101.4056016,-110.198401
2.032667877,-118.9159986,-113.2120008,-112.8680008,-103.164,-109.7479996
2.068965517,-119.7615982,-113.6335998,-112.865599,-101.828,-108.7671998
2.105263158,-119.2088012,-113.7328002,-114.6207992,-101.4472,-108.264801
2.141560799,-119.282399,-114.6800002,-113.854399,-101.1456008,-108.493602
2.177858439,-118.6087984,-114.8159988,-112.5696,-101.8151994,-108.6615996
2.21415608,-118.8735992,-114.5232008,-113.7335998,-101.1184006,-109.2696
2.250453721,-119.1095996,-113.987999,-113.4232012,-100.5159988,-108.5535998
2.286751361,-119.7032012,-113.9311998,-113.0184004,-100.5167998,-107.9496002
2.323049002,-120.0080004,-113.2087998,-113.0048004,-100.7528016,-108.0415984
2.359346642,-119.9735994,-113.2768006,-112.0832002,-100.9679994,-108.6391998
2.395644283,-120.1216002,-113.5616,-112.736,-100.7127992,-108.8088014
2.431941924,-119.7240004,-112.9327988,-112.9264022,-101.1224016,-107.7199996
2.468239564,-121.4240022,-113.1768006,-112.5024002,-100.7728,-107.7175982
2.504537205,-119.4992004,-113.6951996,-113.1479994,-100.6983996,-107.4511994
2.540834846,-120.3192002,-112.8151992,-111.7911988,-100.4943998,-107.9751982
2.577132486,-120.1800002,-113.8224014,-111.2216004,-99.189601,-107.5167998
2.613430127,-119.823201,-112.8335996,-111.3839996,-99.8576004,-107.6912004
2.649727768,-120.5183988,-113.2384006,-111.6584,-100.6832,-106.7432006
2.686025408,-120.7735994,-113.3720002,-111.7287994,-99.7519988,-106.4911986
2.722323049,-119.6136004,-113.2672012,-112.2160006,-98.7168014,-107.471199
2.75862069,-120.840799,-113.7840012,-111.842401,-99.5231994,-106.8559984
2.79491833,-120.289598,-112.8063996,-112.434401,-99.7392014,-107.5567994
2.831215971,-119.8160004,-112.5120026,-111.8936004,-99.2679992,-106.7528014
2.867513612,-120.2376006,-113.3647996,-112.1423994,-100.0455996,-107.3871996
2.903811252,-120.8223982,-112.5648012,-111.0343994,-99.4520004,-106.515201
2.940108893,-121.2752,-113.3231994,-110.9880004,-98.6792008,-107.2656004
2.976406534,-120.3687988,-112.2664,-111.1552002,-98.3720002,-107.2320006
3.012704174,-121.2343996,-112.7983994,-110.7784014,-99.176001,-107.0632004
3.049001815,-120.553601,-112.8744018,-110.662401,-99.6871978,-106.1072024
3.085299456,-120.4088012,-112.6336,-111.684799,-99.0216002,-106.1975998
3.121597096,-120.2927994,-112.472,-111.6432006,-99.1808012,-106.8712004
3.157894737,-120.4832002,-112.7464004,-111.4440004,-98.8727996,-107.3552002
3.194192377,-121.1104018,-112.1848006,-111.6783982,-98.9543992,-107.5087998
3.230490018,-121.4072006,-112.4479998,-110.5576018,-99.2511992,-106.7096008
3.266787659,-120.1799986,-112.4023988,-110.8855988,-99.2520004,-105.5759994
3.303085299,-120.0280012,-111.815999,-110.7695998,-98.8680008,-107.0336
3.33938294,-120.590399,-112.9039994,-110.9303998,-99.6024002,-106.4376008
3.375680581,-122.1807996,-112.4104002,-111.0112,-98.2136016,-106.1671998
3.411978221,-122.012001,-111.651201,-110.684799,-98.5015992,-105.8552002
3.448275862,-121.6343996,-112.682399,-109.8703996,-97.8319992,-106.034401
3.484573503,-121.2056,-111.872801,-110.5999986,-98.2408006,-106.5175994
3.520871143,-121.7520004,-110.6552002,-110.8600008,-98.5384016,-107.2167998
3.557168784,-121.9759996,-112.0432006,-111.3343994,-97.2815976,-106.5152008
3.593466425,-121.0736008,-111.8119994,-111.4039978,-97.576001,-106.0999986
3.629764065,-121.3840028,-111.5152008,-111.1328016,-98.0408004,-105.8640002
3.666061706,-121.5840014,-111.7703994,-110.2904008,-98.5040008,-106.4679994
3.702359347,-122.0039996,-112.2800002,-110.6576004,-97.9975998,-106.382402
3.738656987,-122.5056002,-111.7159986,-110.4784012,-97.8167998,-106.1520004
3.774954628,-122.0192016,-111.8392,-110.6160004,-98.2447998,-105.6927992
