Frequency (kHz),SA_Noise (dBm),CA_Noise_open  (dBm),CA_Noise_cell_connected  (dBm),Probe_Noise  (dBm),Probe_Coupling_Noise  (dBm),Probe_Coupling_RF_Noise  (dBm)
0,NaN,NaN,NaN,NaN,NaN,NaN
0.036297641,-77.2687988,-77.5903988,-77.8999998,-77.8488008,-77.6296004,-77.791199
0.072595281,-105.0559998,-105.1344008,-102.8671998,-103.4807998,-103.3816024,-101.5975998
0.108892922,-107.4279996,-106.684001,-106.5199982,-106.8319992,-107.6255996,-104.7231994
0.145190563,-109.0039992,-108.9167998,-107.8999998,-108.402402,-108.6647994,-108.1271986
0.181488203,-110.0351992,-110.1432004,-96.1504,-96.6039994,-97.5903992,-96.4328004
0.217785844,-109.7632004,-110.3584016,-107.0280012,-105.884001,-105.7080018,-106.2544008
0.254083485,-110.3,-110.3527998,-106.516803,-107.8671996,-107.4424028,-104.812799
0.290381125,-112.114398,-111.553601,-104.9,-104.8023988,-101.2335998,-104.6048004
0.326678766,-112.5856002,-112.6063996,-109.5648008,-110.2584002,-108.2559982,-106.7335998
0.362976407,-113.1375992,-112.2696,-109.1192002,-109.3919998,-108.1832018,-105.921599
0.399274047,-113.064,-111.840799,-99.6152006,-99.7136002,-99.0479996,-99.115999
0.435571688,-113.3672012,-113.0287992,-98.9343996,-98.9559998,-98.2072022,-98.5544006
0.471869328,-113.4335996,-113.0712006,-108.0384018,-108.0559996,-106.817598,-105.2960006
0.508166969,-113.7504014,-113.2824004,-108.8583998,-108.8719986,-108.0895996,-103.6400006
0.54446461,-115.0399994,-114.6224016,-96.6279998,-97.0255998,-97.7472,-96.1879976
0.58076225,-114.8648012,-113.8472,-102.918399,-102.9063994,-101.4455996,-101.4055998
0.617059891,-114.9223982,-114.265599,-105.1448,-105.264,-103.5415998,-102.9504012
0.653357532,-113.9975998,-114.5623994,-101.751201,-102.1696,-100.8535996,-102.0311982
0.689655172,-115.4784012,-114.2536014,-107.1600006,-106.9895994,-106.3287994,-102.2919998
0.725952813,-114.5904008,-114.2167998,-105.1848006,-105.7080016,-104.0856004,-101.9128006
0.762250454,-114.8343994,-113.9760008,-99.6328004,-98.9888,-99.440799,-97.6112002
0.798548094,-115.9240006,-110.2527988,-97.0248002,-97.1976026,-97.3072006,-97.1104006
0.834845735,-115.7663988,-113.8072004,-104.5735992,-104.8800002,-104.6719984,-100.495999
0.871143376,-115.9192,-114.0047988,-103.8839996,-105.9231996,-103.6231996,-100.2783994
0.907441016,-116.4128006,-114.1144,-100.5864012,-101.545601,-101.440001,-99.0999984
0.943738657,-116.4104004,-114.5112016,-104.9495986,-103.7184006,-103.1568024,-99.5992002
0.980036298,-116.565599,-114.2800002,-105.1544006,-105.0216002,-104.2,-99.3640016
1.016333938,-116.8488006,-115.1688006,-100.5904006,-99.8880002,-99.1391998,-96.8631988
1.052631579,-116.5991988,-113.9888,-103.757599,-103.935202,-103.1128002,-98.6632004
