Spectroscopic Data At X=0, Y=0
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
300.349365	33.537201	122.923889	33.699574	122.957779	32.109020	106.761559	32.343822	106.902359	31.702517	85.348396	31.910482	85.914627	
301.942047	33.237026	123.208153	33.401890	123.210594	31.761375	106.968811	31.999249	107.100418	31.346001	85.435066	31.544306	85.986870	
303.534760	32.948158	123.449074	33.134426	123.439804	31.458445	107.176178	31.689209	107.278496	31.017799	85.576729	31.214603	86.047508	
305.127502	32.727352	123.753326	32.894093	123.655701	31.209639	107.357399	31.409719	107.447960	30.715271	85.675362	30.916494	86.107834	
306.720245	32.485504	123.930222	32.677620	123.865570	30.953072	107.560387	31.156757	107.616623	30.459122	85.732216	30.645269	86.175194	
308.312988	32.322620	124.184830	32.481953	124.074341	30.683947	107.772430	30.926647	107.789558	30.168692	85.859222	30.396755	86.254051	
309.905792	32.103962	124.362305	32.304375	124.285233	30.473022	107.933403	30.716181	107.969933	29.944550	86.014305	30.167404	86.346916	
311.498596	31.967302	124.647316	32.142548	124.500305	30.268789	108.156212	30.522646	108.159653	29.717220	86.112282	29.954273	86.455063	
313.091400	31.788307	124.872650	31.994463	124.720848	30.130884	108.453995	30.343740	108.359756	29.531013	86.243248	29.754902	86.578979	
314.684235	31.661779	125.027802	31.858414	124.947563	29.949234	108.688797	30.177530	108.570702	29.324961	86.412231	29.567261	86.718613	
316.277100	31.540192	125.366875	31.732924	125.180756	29.831934	108.869972	30.022366	108.792503	29.166380	86.517876	29.389652	86.873512	
317.869934	31.402437	125.600304	31.616774	125.420372	29.661076	109.088974	29.876907	109.024841	28.981333	86.744621	29.220730	87.042969	
319.462830	31.339819	125.929604	31.508942	125.666153	29.498777	109.328850	29.740047	109.267197	28.836138	87.007072	29.059395	87.226158	
321.055725	31.242958	126.191643	31.408606	125.917664	29.389034	109.700928	29.610916	109.518890	28.684576	87.181770	28.904814	87.422150	
322.648651	31.146511	126.442032	31.315128	126.174400	29.290833	109.984085	29.488848	109.779228	28.527617	87.444267	28.756371	87.630096	
324.241577	31.060394	126.679016	31.228031	126.435806	29.192123	110.319778	29.373365	110.047485	28.402153	87.589592	28.613636	87.849159	
325.834534	31.032476	126.981720	31.146973	126.701370	29.076067	110.566154	29.264139	110.323036	28.248722	87.908943	28.476332	88.078690	
327.427490	30.927423	127.314911	31.071745	126.970612	29.015173	110.840202	29.160980	110.605324	28.113506	88.183235	28.344322	88.318153	
329.020447	30.850700	127.612518	31.002249	127.243134	28.896008	111.178253	29.063828	110.893913	27.997272	88.478378	28.217587	88.567230	
330.613434	30.792091	127.903008	30.938574	127.518669	28.810450	111.526779	28.972809	111.188614	27.885172	88.731720	28.096281	88.825912	
332.206421	30.785051	128.238739	30.880943	127.797142	28.730614	111.853218	28.888199	111.489471	27.745026	89.130302	27.980688	89.094566	
333.799438	30.748741	128.488510	30.829342	128.078491	28.641399	112.158829	28.810001	111.796478	27.654657	89.390083	27.870827	89.373306	
335.392456	30.670546	128.771988	30.784004	128.362869	28.566916	112.457245	28.738485	112.109962	27.564505	89.761116	27.766951	89.662788	
336.985474	30.638124	129.021332	30.745197	128.650604	28.497936	112.820877	28.673948	112.430443	27.440529	89.998245	27.669333	89.963867	
338.578522	30.623686	129.330597	30.713734	128.942657	28.453146	113.094437	28.617252	112.759438	27.363714	90.312164	27.578722	90.278793	
340.171570	30.571815	129.751755	30.689650	129.239548	28.388895	113.504936	28.568420	113.097626	27.270905	90.620834	27.495102	90.608459	
341.764587	30.567244	130.029373	30.673256	129.542068	28.358965	113.873856	28.527781	113.446091	27.191235	91.000755	27.418726	90.954376	
343.357666	30.515713	130.345734	30.665356	129.851685	28.315247	114.221931	28.496159	113.806923	27.074493	91.340164	27.350266	91.319412	
344.950745	30.526850	130.572906	30.666756	130.170029	28.310368	114.513954	28.474375	114.182434	27.078470	91.831001	27.290377	91.706726	
346.543823	30.549589	130.992218	30.677681	130.497818	28.290495	114.841637	28.462685	114.573578	26.929150	92.115746	27.239269	92.117683	
348.136902	30.594488	131.435379	30.699787	130.837906	28.290066	115.456459	28.462795	114.984421	26.912842	92.753662	27.198364	92.557869	
349.730011	30.637243	131.662720	30.734793	131.193817	28.317373	115.831848	28.476467	115.419884	26.930189	93.118103	27.169069	93.033859	
351.323090	30.665714	132.067963	30.783566	131.568359	28.318054	116.359779	28.504564	115.883636	26.895144	93.815140	27.152016	93.550438	
352.916199	30.702959	132.560654	30.850460	131.974426	28.349762	116.963173	28.551216	116.392769	26.859728	94.181511	27.149933	94.128883	
354.509338	30.817097	132.992844	30.935257	132.420624	28.424961	117.507286	28.615730	116.957481	26.889225	95.018578	27.161255	94.780434	
356.102448	30.917219	133.536987	31.039148	132.927582	28.508432	118.082268	28.698223	117.603050	26.896814	95.727684	27.183800	95.533501	
357.695557	31.039858	134.058670	31.158375	133.521027	28.606590	118.965614	28.792915	118.359154	26.927898	96.708458	27.208773	96.418610	
359.288696	31.152281	134.845581	31.284111	134.216431	28.660749	119.896881	28.888994	119.241905	26.918980	97.663338	27.223343	97.449394	
360.881805	31.233885	135.655685	31.399700	135.044907	28.703535	120.906914	28.965538	120.284096	26.834507	98.768608	27.202011	98.653343	
362.474945	31.321726	136.576752	31.490192	135.986588	28.714138	121.916183	29.006847	121.458511	26.746618	100.059769	27.130327	99.995132	
364.068085	31.326426	137.606018	31.528534	137.043427	28.728973	123.270172	28.981342	122.760567	26.605568	101.526054	26.973862	101.455254	
365.661224	31.325590	138.697739	31.513037	138.162308	28.621855	124.629257	28.890072	124.127304	26.340376	102.923157	26.738684	102.965530	
367.254364	31.238684	139.783234	31.424385	139.308884	28.414457	125.973389	28.712011	125.511406	26.025288	104.410477	26.405184	104.459389	
368.847504	31.112938	140.996277	31.277121	140.441299	28.207684	127.321793	28.466091	126.866531	25.650009	105.872818	25.997524	105.891785	
370.440643	30.931061	142.062775	31.070866	141.519302	27.934870	128.704224	28.153830	128.141663	25.193024	107.413864	25.521887	107.199127	
372.033783	30.728014	143.116608	30.820219	142.523895	27.666082	129.895325	27.793224	129.316223	24.717510	108.579475	25.000145	108.362068	
373.626923	30.479179	143.960327	30.539463	143.445343	27.278271	131.012589	27.401602	130.380829	24.189121	109.557106	24.452841	109.374466	
375.220093	30.182928	144.848587	30.235857	144.263870	26.878447	131.902100	26.988844	131.310669	23.655058	110.502716	23.894239	110.207352	
376.813232	29.866457	145.599030	29.923506	145.008408	26.439058	132.814743	26.569910	132.145630	23.104118	111.249779	23.337440	110.914848	
378.406372	29.538576	146.188110	29.607574	145.659348	25.994661	133.440353	26.152372	132.860825	22.552107	111.861908	22.794312	111.468895	
379.999512	29.168839	146.816605	29.293222	146.244019	25.584307	134.085739	25.740738	133.491928	21.960276	112.275352	22.266562	111.914230	
381.592621	28.896694	147.343506	28.983000	146.770798	25.132265	134.652786	25.337626	134.049774	21.441612	112.589279	21.756371	112.264847	
383.185760	28.559305	147.793594	28.680922	147.230270	24.767437	135.179794	24.948568	134.522903	20.948036	112.603188	21.271608	112.510323	
384.778900	28.265120	148.193466	28.385891	147.645737	24.376211	135.570801	24.570808	134.940567	20.457458	112.816124	20.806175	112.684212	
386.372009	27.979643	148.571625	28.099579	148.017502	24.006031	135.805634	24.206394	135.303467	20.071003	113.000854	20.362476	112.789162	
387.965149	27.736195	148.854553	27.825178	148.342224	23.717070	136.223907	23.859404	135.608246	19.667685	112.942543	19.945580	112.825226	
389.558289	27.482044	149.175842	27.560493	148.634354	23.363012	136.434586	23.526297	135.872726	19.273060	112.928627	19.549572	112.811951	
391.151398	27.202263	149.364487	27.306107	148.896973	23.054174	136.627670	23.207581	136.101135	18.887949	112.922592	19.174553	112.755852	
392.744476	26.995157	149.574677	27.065817	149.127213	22.765781	136.858368	22.907957	136.291443	18.561184	112.853729	18.825909	112.660553	
394.337585	26.759380	149.835968	26.836475	149.336197	22.513584	137.046967	22.622936	136.456985	18.210091	112.694862	18.497076	112.539146	
395.930695	26.517515	149.960342	26.617916	149.527573	22.212992	137.179962	22.352060	136.602631	17.894199	112.517334	18.186905	112.398354	
397.523773	26.389540	150.229706	26.410664	149.703796	21.955473	137.188187	22.095758	136.732071	17.671911	112.460114	17.895321	112.244576	
399.116852	26.176811	150.425720	26.215290	149.867371	21.757311	137.337524	21.854504	136.849152	17.396486	112.211960	17.622250	112.084526	
400.709930	26.005665	150.519562	26.029144	150.023315	21.538828	137.530701	21.624802	136.959396	17.140173	112.118607	17.363144	111.921913	
402.303009	25.861996	150.760880	25.851553	150.173752	21.318020	137.693268	21.405687	137.065491	16.886974	111.954002	17.116549	111.759819	
403.896057	25.638378	150.793198	25.681778	150.320419	21.099014	137.661240	21.196148	137.169556	16.645420	111.771309	16.881035	111.600372	
405.489105	25.487759	150.935959	25.520437	150.464035	20.891859	137.870880	20.996838	137.273087	16.456614	111.700150	16.657019	111.447243	
407.082123	25.371761	151.219177	25.365236	150.606247	20.678837	137.880173	20.804928	137.377167	16.202927	111.510651	16.441296	111.298500	
408.675171	25.177305	151.317657	25.215456	150.747559	20.490944	137.972794	20.619534	137.482208	16.010448	111.250092	16.232824	111.153877	
410.268158	25.054619	151.357224	25.070543	150.888184	20.300053	138.142929	20.439976	137.588287	15.831792	111.038300	16.030838	111.012909	
411.861176	24.853874	151.509491	24.930014	151.028168	20.123524	138.233521	20.265676	137.695282	15.584277	110.895279	15.834710	110.874962	
413.454193	24.727753	151.646378	24.793869	151.167297	19.953461	138.242538	20.096645	137.802979	15.393825	110.754265	15.644438	110.740135	
415.047180	24.577765	151.666946	24.661604	151.305481	19.801586	138.389694	19.932297	137.911011	15.227294	110.527695	15.459427	110.607391	
416.640137	24.469725	151.867447	24.532614	151.442703	19.617977	138.496475	19.771914	138.019104	15.009456	110.317467	15.278947	110.475456	
