X (cm),Y (cm),MSE,Absolute MSE,Thickness # 1 (nm),A,B,C,n of Cauchy @ 632.8 nm,Thickness # 1 (nm) Error,A Error,B Error,C Error,n of Cauchy @ 632.8 nm Error
-2.75,9,6.09,0,9.34,2.25,-0.02333,0.00098059,2.19785,0.014,0.0177,0.00653,0.00049868,0
-1,9,6.359,0,9.01,2.248,-0.01928,0.00059796,2.20386,0.014,0.0191,0.007095,0.00054292,0
0,9,6.379,0,8.98,2.248,-0.01926,0.00059023,2.20396,0.014,0.0192,0.007139,0.00054629,0
1,9,6.442,0,8.96,2.25,-0.01908,0.00056229,2.20547,0.014,0.0194,0.007215,0.00055243,0
2.75,9,6.39,0,8.86,2.245,-0.01802,0.00048971,2.20312,0.014,0.0196,0.007283,0.00055705,0
5.25,8,6.269,0,9.07,2.248,-0.02186,0.00079949,2.19805,0.014,0.0189,0.006969,0.00053195,0
2.75,8,6.346,0,8.96,2.248,-0.0182,0.000513,2.20533,0.014,0.0192,0.007122,0.00054527,0
1,8,6.353,0,8.96,2.247,-0.0181,0.00051689,2.20501,0.014,0.0192,0.007126,0.00054553,0
0,8,6.418,0,8.93,2.246,-0.0175,0.00046417,2.20553,0.014,0.0195,0.007233,0.00055387,0
-1,8,6.232,0,8.9,2.244,-0.01652,0.00040846,2.20515,0.014,0.019,0.007061,0.00054057,0
-2.75,8,6.328,0,8.96,2.246,-0.01767,0.00049026,2.20467,0.014,0.0191,0.007107,0.00054398,0
-5.25,8,5.959,0,9.86,2.251,-0.02653,0.00124,2.19273,0.013,0.0163,0.006006,0.00045763,0
-5.25,7,6.177,0,9.23,2.251,-0.0215,0.00080284,2.20278,0.014,0.018,0.006693,0.00051206,0
-2.75,7,6.338,0,8.99,2.25,-0.01904,0.00060337,2.20637,0.014,0.019,0.007068,0.00054159,0
-1,7,6.216,0,9,2.244,-0.01764,0.00051719,2.20278,0.014,0.0188,0.006961,0.00053244,0
0,7,6.174,0,9.04,2.245,-0.0186,0.0005933,2.20217,0.014,0.0186,0.006877,0.00052597,0
1,7,6.322,0,9.08,2.248,-0.01981,0.00066777,2.20301,0.014,0.0188,0.006987,0.00053459,0
2.75,7,6.306,0,9.11,2.248,-0.02044,0.00072593,2.2018,0.014,0.0187,0.006948,0.00053134,0
5.25,7,6.317,0,9.13,2.251,-0.02178,0.00081126,2.20163,0.014,0.0187,0.006937,0.00053047,0
8,5.25,6.061,0,9.64,2.253,-0.02674,0.00123,2.19419,0.014,0.017,0.006265,0.00047767,0
7,5.25,6.07,0,9.41,2.247,-0.02356,0.00099446,2.19439,0.014,0.0176,0.006481,0.00049413,0
5.25,5.25,6.249,0,9.35,2.248,-0.02168,0.00083384,2.19896,0.014,0.0181,0.006695,0.00051127,0
2.75,5.25,6.184,0,9.34,2.252,-0.02273,0.00091212,2.20052,0.014,0.0179,0.006619,0.00050597,0
1,5.25,6.157,0,9.3,2.247,-0.02142,0.00082937,2.19915,0.014,0.018,0.006641,0.00050728,0
0,5.25,6.211,0,9.26,2.247,-0.02054,0.00075633,2.20007,0.014,0.0182,0.006725,0.00051386,0
-1,5.25,6.152,0,9.22,2.244,-0.02004,0.00074449,2.19894,0.014,0.0182,0.006713,0.00051279,0
-2.75,5.25,6.327,0,9.17,2.25,-0.0207,0.00074508,2.20268,0.014,0.0187,0.006917,0.00052916,0
-5.25,5.25,6.207,0,9.19,2.249,-0.02019,0.00072414,2.20295,0.014,0.0183,0.006768,0.00051785,0
-7,5.25,5.994,0,9.45,2.247,-0.02249,0.00094445,2.19623,0.013,0.0172,0.006355,0.00048492,0
-8,5.25,5.927,0,10.28,2.249,-0.02897,0.00149,2.18609,0.013,0.0156,0.005713,0.00043425,0
-9,2.75,5.876,0,10.07,2.249,-0.02725,0.00134,2.1893,0.013,0.0158,0.005797,0.00044113,0
-8,2.75,6.114,0,9.49,2.251,-0.02308,0.0009776,2.19944,0.014,0.0174,0.006421,0.00049066,0
-7,2.75,6.12,0,9.37,2.248,-0.02173,0.00088205,2.19954,0.014,0.0177,0.006535,0.0004994,0
-5.25,2.75,5.974,0,9.33,2.242,-0.02011,0.0007967,2.19635,0.013,0.0175,0.00645,0.00049219,0
-2.75,2.75,6.01,0,9.43,2.244,-0.02171,0.00091823,2.1953,0.013,0.0174,0.006407,0.00048879,0
-1,2.75,5.933,0,9.51,2.249,-0.02352,0.00104,2.19659,0.013,0.0169,0.006235,0.00047597,0
0,2.75,5.991,0,9.56,2.245,-0.02294,0.00102,2.19357,0.013,0.0171,0.006282,0.00047888,0
1,2.75,5.922,0,9.6,2.245,-0.02342,0.00103,2.1928,0.013,0.0168,0.00618,0.00047085,0
2.75,2.75,5.876,0,9.64,2.246,-0.02365,0.00106,2.1938,0.013,0.0166,0.006098,0.0004649,0
5.25,2.75,5.912,0,9.6,2.243,-0.0237,0.00108,2.19043,0.013,0.0169,0.006191,0.00047131,0
7,2.75,6.007,0,9.51,2.246,-0.02402,0.00107,2.19308,0.013,0.0172,0.006341,0.00048327,0
8,2.75,5.936,0,9.41,2.245,-0.02349,0.00102,2.19302,0.013,0.0173,0.00635,0.00048388,0
9,2.75,6,0,9.24,2.247,-0.02362,0.001,2.19396,0.013,0.0178,0.006552,0.00049951,0
9,1,5.998,0,9.45,2.245,-0.02382,0.00104,2.19224,0.013,0.0174,0.006386,0.00048648,0
8,1,5.906,0,9.53,2.248,-0.02454,0.00112,2.19369,0.013,0.0169,0.00621,0.00047347,0
7,1,5.953,0,9.66,2.245,-0.02465,0.00114,2.19045,0.013,0.0168,0.006183,0.0004707,0
5.25,1,5.873,0,9.79,2.247,-0.02624,0.00127,2.18982,0.013,0.0163,0.005993,0.00045621,0
2.75,1,5.766,0,9.85,2.242,-0.02486,0.00121,2.18762,0.013,0.016,0.005871,0.0004465,0
1,1,5.867,0,9.81,2.247,-0.02565,0.00125,2.19043,0.013,0.0163,0.005976,0.00045506,0
0,1,5.825,0,9.77,2.244,-0.02469,0.00118,2.18979,0.013,0.0163,0.005972,0.00045465,0
-1,1,5.94,0,9.71,2.249,-0.02492,0.00116,2.19365,0.013,0.0166,0.006102,0.00046524,0
-2.75,1,5.845,0,9.61,2.244,-0.02324,0.00106,2.19252,0.013,0.0166,0.006105,0.00046521,0
-5.25,1,6.067,0,9.46,2.249,-0.02234,0.00094447,2.19911,0.013,0.0173,0.006405,0.00048944,0
-7,1,5.994,0,9.42,2.244,-0.0216,0.0009038,2.19597,0.013,0.0173,0.006389,0.00048749,0
-8,1,5.951,0,9.46,2.245,-0.02212,0.00095378,2.19532,0.013,0.0171,0.006312,0.00048155,0
-9,1,5.977,0,9.74,2.249,-0.02488,0.00115,2.19433,0.013,0.0166,0.006117,0.00046649,0
-9,0,14.498,0,9.64,2.266,-0.02915,0.00145,2.20195,0.032,0.0399,0.014838,0.001136,0
-8,0,7.408,0,9.49,2.222,-0.01382,0.00035016,2.1894,0.016,0.0218,0.007942,0.00060354,0
-7,0,6.086,0,9.49,2.247,-0.02307,0.00101,2.19596,0.014,0.0174,0.006426,0.00049039,0
-5.25,0,6.042,0,9.55,2.25,-0.02366,0.00106,2.19711,0.013,0.0171,0.006313,0.00048207,0
-2.75,0,5.943,0,9.69,2.247,-0.02378,0.00109,2.19446,0.013,0.0166,0.006127,0.00046727,0
-1,0,5.723,0,9.79,2.245,-0.02498,0.00121,2.19064,0.013,0.0159,0.005843,0.000445,0
0,0,5.893,0,9.86,2.245,-0.02534,0.00124,2.18948,0.013,0.0163,0.005972,0.0004546,0
1,0,5.701,0,9.92,2.242,-0.02542,0.00127,2.1869,0.013,0.0157,0.005757,0.00043774,0
2.75,0,5.863,0,9.96,2.246,-0.02647,0.00132,2.18818,0.013,0.016,0.005872,0.00044671,0
5.25,0,5.631,0,9.91,2.241,-0.02557,0.00128,2.18518,0.013,0.0156,0.005703,0.00043333,0
7,0,5.796,0,9.77,2.246,-0.02586,0.00125,2.18889,0.013,0.0162,0.005939,0.00045191,0
8,0,5.803,0,9.65,2.244,-0.02484,0.00116,2.18912,0.013,0.0165,0.006042,0.00045974,0
9,0,5.812,0,9.53,2.244,-0.02455,0.00112,2.19013,0.013,0.0167,0.006132,0.00046675,0
9,-1,5.829,0,9.59,2.244,-0.0245,0.00112,2.1896,0.013,0.0167,0.006114,0.00046527,0
8,-1,5.778,0,9.75,2.245,-0.02551,0.00122,2.18866,0.013,0.0162,0.005943,0.00045211,0
7,-1,5.634,0,9.88,2.242,-0.02583,0.00128,2.18562,0.013,0.0156,0.00572,0.00043468,0
5.25,-1,5.685,0,10.03,2.244,-0.02706,0.00138,2.1848,0.013,0.0155,0.005666,0.00043049,0
2.75,-1,5.65,0,10.04,2.242,-0.02638,0.00135,2.18437,0.013,0.0154,0.00563,0.00042765,0
1,-1,5.821,0,9.97,2.245,-0.02564,0.00125,2.18906,0.013,0.0159,0.005819,0.00044284,0
0,-1,5.735,0,9.91,2.242,-0.02498,0.00123,2.18706,0.013,0.0158,0.005795,0.00044066,0
-1,-1,5.794,0,9.85,2.243,-0.02443,0.00117,2.18945,0.013,0.0161,0.005887,0.00044807,0
-2.75,-1,5.786,0,9.73,2.246,-0.02483,0.0012,2.19156,0.013,0.0162,0.005947,0.00045315,0
-5.25,-1,5.901,0,9.63,2.244,-0.02296,0.00104,2.19357,0.013,0.0167,0.006134,0.00046762,0
-7,-1,5.926,0,9.58,2.242,-0.02213,0.00098883,2.19278,0.013,0.0169,0.006216,0.0004737,0
-8,-1,5.912,0,9.57,2.245,-0.02248,0.00099607,2.19489,0.013,0.0168,0.006189,0.00047213,0
-9,-1,5.802,0,9.84,2.246,-0.02518,0.00122,2.19124,0.013,0.016,0.005883,0.00044813,0
-8,-2.75,5.903,0,9.82,2.247,-0.02585,0.00127,2.19053,0.013,0.0163,0.006002,0.00045713,0
-7,-2.75,5.865,0,9.78,2.247,-0.02487,0.00121,2.19215,0.013,0.0163,0.005985,0.00045617,0
-5.25,-2.75,5.793,0,9.77,2.245,-0.02417,0.00116,2.19177,0.013,0.0161,0.005932,0.00045199,0
-2.75,-2.75,5.875,0,9.71,2.241,-0.02321,0.0011,2.18972,0.013,0.0166,0.006079,0.00046279,0
-1,-2.75,5.672,0,9.82,2.239,-0.02466,0.00124,2.18562,0.013,0.0159,0.005809,0.0004415,0
0,-2.75,5.568,0,9.91,2.24,-0.02483,0.00125,2.18571,0.012,0.0154,0.005641,0.00042876,0
1,-2.75,5.688,0,9.99,2.245,-0.02616,0.00133,2.18795,0.013,0.0155,0.005683,0.00043238,0
2.75,-2.75,5.67,0,10.1,2.242,-0.02674,0.0014,2.18441,0.013,0.0154,0.005612,0.00042642,0
5.25,-2.75,5.567,0,10.19,2.241,-0.02758,0.00146,2.18093,0.013,0.015,0.005465,0.00041466,0
7,-2.75,5.692,0,10.11,2.239,-0.02731,0.00143,2.1797,0.013,0.0155,0.005651,0.00042847,0
8,-2.75,5.792,0,9.91,2.245,-0.02745,0.00139,2.18471,0.013,0.016,0.005855,0.00044484,0
7,-5.25,5.422,0,10.33,2.237,-0.02811,0.00153,2.17621,0.012,0.0145,0.005261,0.00039845,0
5.25,-5.25,5.567,0,10.24,2.236,-0.0268,0.00143,2.17848,0.013,0.015,0.005457,0.00041358,0
2.75,-5.25,5.443,0,10.03,2.238,-0.02524,0.00132,2.18308,0.012,0.0149,0.005446,0.00041358,0
1,-5.25,5.601,0,9.96,2.24,-0.02517,0.00129,2.18559,0.013,0.0154,0.005636,0.00042845,0
0,-5.25,5.604,0,9.9,2.244,-0.02555,0.0013,2.18858,0.013,0.0154,0.005661,0.00043092,0
-1,-5.25,5.713,0,9.77,2.241,-0.02439,0.00122,2.18729,0.013,0.016,0.005876,0.00044701,0
-2.75,-5.25,5.741,0,9.5,2.236,-0.02129,0.0009709,2.18885,0.013,0.0167,0.006116,0.00046544,0
-5.25,-5.25,5.694,0,10.03,2.243,-0.0262,0.00135,2.18621,0.013,0.0155,0.005674,0.0004314,0
-7,-5.25,5.809,0,10.05,2.246,-0.02568,0.00129,2.1895,0.013,0.0157,0.005753,0.00043796,0
-5.25,-7,5.763,0,10.2,2.246,-0.02702,0.00141,2.18698,0.013,0.0153,0.005615,0.0004271,0
