n of Cauchy @ 632.8 nm vs. Position
X (cm)	Y (cm)	Z
-2.750000	9.000000	2.209352
-1.000000	9.000000	2.213364
0.000000	9.000000	2.216062
1.000000	9.000000	2.215184
2.750000	9.000000	2.216518
5.250000	8.000000	2.212988
2.750000	8.000000	2.218847
1.000000	8.000000	2.218103
0.000000	8.000000	2.217566
-1.000000	8.000000	2.219926
-2.750000	8.000000	2.218976
-5.250000	8.000000	2.204990
-5.250000	7.000000	2.214316
-2.750000	7.000000	2.218657
-1.000000	7.000000	2.218018
0.000000	7.000000	2.216676
1.000000	7.000000	2.217231
2.750000	7.000000	2.216328
5.250000	7.000000	2.213927
8.000000	5.250000	2.205263
7.000000	5.250000	2.208130
5.250000	5.250000	2.212631
2.750000	5.250000	2.212982
1.000000	5.250000	2.213701
0.000000	5.250000	2.214376
-1.000000	5.250000	2.218184
-2.750000	5.250000	2.216192
-5.250000	5.250000	2.217362
-7.000000	5.250000	2.214444
-8.000000	5.250000	2.198596
-9.000000	2.750000	2.204715
-8.000000	2.750000	2.211843
-7.000000	2.750000	2.213378
-5.250000	2.750000	2.214464
-2.750000	2.750000	2.208488
-1.000000	2.750000	2.209904
0.000000	2.750000	2.209833
1.000000	2.750000	2.207931
2.750000	2.750000	2.207115
5.250000	2.750000	2.206315
7.000000	2.750000	2.206606
8.000000	2.750000	2.208624
9.000000	2.750000	2.207124
9.000000	1.000000	2.207379
8.000000	1.000000	2.204934
7.000000	1.000000	2.205177
5.250000	1.000000	2.206792
2.750000	1.000000	2.201440
1.000000	1.000000	2.202543
0.000000	1.000000	2.204978
-1.000000	1.000000	2.207810
-2.750000	1.000000	2.210733
-5.250000	1.000000	2.211425
-7.000000	1.000000	2.211936
-8.000000	1.000000	2.211532
-9.000000	1.000000	2.207191
-9.000000	0.000000	2.208606
-8.000000	0.000000	2.209438
-7.000000	0.000000	2.210640
-5.250000	0.000000	2.210359
-2.750000	0.000000	2.206049
-1.000000	0.000000	2.205312
0.000000	0.000000	2.203817
1.000000	0.000000	2.202425
2.750000	0.000000	2.201560
5.250000	0.000000	2.203867
7.000000	0.000000	2.203248
8.000000	0.000000	2.204525
9.000000	0.000000	2.202575
9.000000	-1.000000	2.202701
8.000000	-1.000000	2.203799
7.000000	-1.000000	2.199441
5.250000	-1.000000	2.202197
2.750000	-1.000000	2.200410
1.000000	-1.000000	2.204049
0.000000	-1.000000	2.204952
-1.000000	-1.000000	2.205121
-2.750000	-1.000000	2.208697
-5.250000	-1.000000	2.206837
-7.000000	-1.000000	2.210356
-8.000000	-1.000000	2.209826
-9.000000	-1.000000	2.204615
-8.000000	-2.750000	2.206784
-7.000000	-2.750000	2.205584
-5.250000	-2.750000	2.209477
-2.750000	-2.750000	2.206997
-1.000000	-2.750000	2.205039
0.000000	-2.750000	2.205398
1.000000	-2.750000	2.201583
2.750000	-2.750000	2.200905
5.250000	-2.750000	2.197261
7.000000	-2.750000	2.196757
8.000000	-2.750000	2.200067
7.000000	-5.250000	2.193404
5.250000	-5.250000	2.195968
2.750000	-5.250000	2.199543
1.000000	-5.250000	2.200545
0.000000	-5.250000	2.200652
-1.000000	-5.250000	2.204845
-2.750000	-5.250000	2.210036
-5.250000	-5.250000	2.202845
-7.000000	-5.250000	2.201260
-5.250000	-7.000000	2.198935
-2.750000	-7.000000	2.213398
-1.000000	-7.000000	2.202811
0.000000	-7.000000	2.204386
1.000000	-7.000000	2.204351
2.750000	-7.000000	2.199429
5.250000	-7.000000	2.192751
2.750000	-8.000000	2.202340
1.000000	-8.000000	2.203909
0.000000	-8.000000	2.201791
-1.000000	-8.000000	2.201709
-2.750000	-8.000000	2.208078
-2.750000	-9.000000	2.200529
-1.000000	-9.000000	2.196496
0.000000	-9.000000	2.197412
1.000000	-9.000000	2.198795
2.750000	-9.000000	2.197333
