X (cm)	Y (cm)	MSE	Absolute MSE	Thickness # 1 (nm)	A	B	C	n of Cauchy @ 632.8 nm	Thickness # 1 (nm) Error	A Error	B Error	C Error	n of Cauchy @ 632.8 nm Error
-2.75000	9.00000	6.875	0.000	9.45	2.263	-0.02339	0.00080545	2.20935	0.015	0.0192	0.007168	0.00054941	0.000000
-1.00000	9.00000	6.990	0.000	9.09	2.255	-0.01742	0.00032827	2.21336	0.015	0.0204	0.007627	0.00058534	0.000000
0.00000	9.00000	7.031	0.000	9.06	2.260	-0.01860	0.00039948	2.21606	0.016	0.0205	0.007674	0.00058970	0.000000
1.00000	9.00000	7.002	0.000	9.05	2.259	-0.01847	0.00038662	2.21518	0.015	0.0205	0.007660	0.00058841	0.000000
2.75000	9.00000	7.163	0.000	9.01	2.262	-0.01930	0.00039119	2.21652	0.016	0.0210	0.007860	0.00060393	0.000000
5.25000	8.00000	7.069	0.000	9.10	2.260	-0.02024	0.00050359	2.21299	0.016	0.0206	0.007694	0.00059042	0.000000
2.75000	8.00000	7.216	0.000	9.03	2.261	-0.01784	0.00031189	2.21885	0.016	0.0210	0.007884	0.00060647	0.000000
1.00000	8.00000	7.070	0.000	9.01	2.257	-0.01593	0.00019516	2.21810	0.016	0.0207	0.007765	0.00059711	0.000000
0.00000	8.00000	7.064	0.000	8.97	2.255	-0.01529	0.00015595	2.21757	0.016	0.0208	0.007805	0.00060003	0.000000
-1.00000	8.00000	7.177	0.000	8.95	2.258	-0.01581	0.00017560	2.21993	0.016	0.0211	0.007926	0.00060996	0.000000
-2.75000	8.00000	7.054	0.000	9.03	2.257	-0.01549	0.00015071	2.21898	0.016	0.0206	0.007723	0.00059403	0.000000
-5.25000	8.00000	6.932	0.000	9.97	2.266	-0.02733	0.00112	2.20499	0.016	0.0183	0.006783	0.00051892	0.000000
-5.25000	7.00000	7.023	0.000	9.30	2.259	-0.01887	0.00044721	2.21432	0.016	0.0199	0.007439	0.00057115	0.000000
-2.75000	7.00000	7.142	0.000	9.04	2.259	-0.01682	0.00027562	2.21866	0.016	0.0208	0.007806	0.00060054	0.000000
-1.00000	7.00000	7.059	0.000	9.05	2.256	-0.01579	0.00020361	2.21802	0.016	0.0206	0.007719	0.00059358	0.000000
0.00000	7.00000	7.159	0.000	9.08	2.257	-0.01697	0.00029033	2.21668	0.016	0.0208	0.007794	0.00059906	0.000000
1.00000	7.00000	7.093	0.000	9.11	2.258	-0.01728	0.00031707	2.21723	0.016	0.0205	0.007685	0.00059086	0.000000
2.75000	7.00000	7.034	0.000	9.15	2.260	-0.01846	0.00040561	2.21633	0.016	0.0203	0.007591	0.00058339	0.000000
5.25000	7.00000	7.048	0.000	9.17	2.259	-0.01935	0.00045554	2.21393	0.016	0.0203	0.007599	0.00058337	0.000000
8.00000	5.25000	6.889	0.000	9.67	2.263	-0.02547	0.00097760	2.20526	0.015	0.0189	0.007005	0.00053597	0.000000
7.00000	5.25000	6.794	0.000	9.42	2.256	-0.02073	0.00062203	2.20813	0.015	0.0192	0.007129	0.00054600	0.000000
