Thickness # 1 in nm vs. Position
X (cm)	Y (cm)	Z
-2.750000	9.000000	9.447187
-1.000000	9.000000	9.093151
0.000000	9.000000	9.059955
1.000000	9.000000	9.050508
2.750000	9.000000	9.008091
5.250000	8.000000	9.097247
2.750000	8.000000	9.030287
1.000000	8.000000	9.009344
0.000000	8.000000	8.973333
-1.000000	8.000000	8.953473
-2.750000	8.000000	9.027286
-5.250000	8.000000	9.973000
-5.250000	7.000000	9.304770
-2.750000	7.000000	9.037088
-1.000000	7.000000	9.045170
0.000000	7.000000	9.083350
1.000000	7.000000	9.113597
2.750000	7.000000	9.145832
5.250000	7.000000	9.166232
8.000000	5.250000	9.670351
7.000000	5.250000	9.424489
5.250000	5.250000	9.365431
2.750000	5.250000	9.359739
1.000000	5.250000	9.321719
0.000000	5.250000	9.289504
-1.000000	5.250000	9.255568
-2.750000	5.250000	9.205056
-5.250000	5.250000	9.227748
-7.000000	5.250000	9.496790
-8.000000	5.250000	10.341863
-9.000000	2.750000	10.153589
-8.000000	2.750000	9.545297
-7.000000	2.750000	9.468153
-5.250000	2.750000	9.362761
-2.750000	2.750000	9.454688
-1.000000	2.750000	9.544003
0.000000	2.750000	9.591519
1.000000	2.750000	9.624378
2.750000	2.750000	9.653126
5.250000	2.750000	9.618322
7.000000	2.750000	9.529772
8.000000	2.750000	9.443187
9.000000	2.750000	9.287146
9.000000	1.000000	9.443010
8.000000	1.000000	9.542517
7.000000	1.000000	9.661549
5.250000	1.000000	9.804879
2.750000	1.000000	9.855882
1.000000	1.000000	9.826220
0.000000	1.000000	9.796785
-1.000000	1.000000	9.739464
-2.750000	1.000000	9.637516
-5.250000	1.000000	9.493934
-7.000000	1.000000	9.452830
-8.000000	1.000000	9.495358
-9.000000	1.000000	9.799391
-9.000000	0.000000	9.781977
-8.000000	0.000000	9.523433
-7.000000	0.000000	9.511450
-5.250000	0.000000	9.581933
-2.750000	0.000000	9.721849
-1.000000	0.000000	9.819729
0.000000	0.000000	9.883389
1.000000	0.000000	9.934864
2.750000	0.000000	9.976085
5.250000	0.000000	9.920492
7.000000	0.000000	9.777015
8.000000	0.000000	9.654600
9.000000	0.000000	9.564105
9.000000	-1.000000	9.609247
8.000000	-1.000000	9.753546
7.000000	-1.000000	9.884678
5.250000	-1.000000	10.037321
2.750000	-1.000000	10.058693
1.000000	-1.000000	9.992218
0.000000	-1.000000	9.936578
-1.000000	-1.000000	9.864359
-2.750000	-1.000000	9.763080
-5.250000	-1.000000	9.665851
-7.000000	-1.000000	9.608526
-8.000000	-1.000000	9.609867
-9.000000	-1.000000	9.903898
-8.000000	-2.750000	9.834490
-7.000000	-2.750000	9.813319
-5.250000	-2.750000	9.796022
-2.750000	-2.750000	9.730018
-1.000000	-2.750000	9.852118
0.000000	-2.750000	9.931391
1.000000	-2.750000	10.009581
2.750000	-2.750000	10.115908
5.250000	-2.750000	10.201698
7.000000	-2.750000	10.102636
8.000000	-2.750000	9.913454
7.000000	-5.250000	10.364864
5.250000	-5.250000	10.256640
2.750000	-5.250000	10.055098
1.000000	-5.250000	9.991274
0.000000	-5.250000	9.931941
-1.000000	-5.250000	9.809149
-2.750000	-5.250000	9.525364
-5.250000	-5.250000	10.041722
-7.000000	-5.250000	10.085521
-5.250000	-7.000000	10.244032
-2.750000	-7.000000	9.436463
-1.000000	-7.000000	9.957782
0.000000	-7.000000	9.987846
1.000000	-7.000000	9.964197
2.750000	-7.000000	9.971807
5.250000	-7.000000	10.372568
2.750000	-8.000000	9.964517
1.000000	-8.000000	9.941453
0.000000	-8.000000	10.008608
-1.000000	-8.000000	10.104087
-2.750000	-8.000000	9.487767
-2.750000	-9.000000	9.761352
-1.000000	-9.000000	10.329786
0.000000	-9.000000	10.094243
1.000000	-9.000000	10.043376
2.750000	-9.000000	10.308814
